Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
HQSMS,28/12/2016,0000037203,DHL GLOBAL FORWARDING (DENMARK) A/S,DNK,TRANSPORT SUPPORT,"273,600"
HQSMS,28/12/2016,0000037206,DHL GLOBAL FORWARDING (DENMARK) A/S,DNK,TRANSPORT SUPPORT,"169,100"
HQSMS,28/12/2016,0000037208,DHL GLOBAL FORWARDING (DENMARK) A/S,DNK,TRANSPORT SUPPORT,"117,925"
HQSMS,28/12/2016,0000037209,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"128,820"
HQSMS,28/12/2016,0000037212,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"148,740"
HQSMS,28/12/2016,0000037234,INTERNATIONAL DISPENSARY ASSOCIATION (ID,NLD,MISC DRUGS,"164,664"
HQSMS,28/12/2016,0000037237,KITCHEN ESSENTIALS,IND,KITCHENWARE,"486,242"
UGA01,28/12/2016,0000005920,BCM CONSTRUCTION LTD,UGA,MAINTENANCE/ CONSTRUCTION SER,"135,661"
GRC01,27/12/2016,0000001889,INTRAKAT,GRC,PREFABRICATED House,"101,348"
GRC01,27/12/2016,0000001889,INTRAKAT,GRC,PREFABRICATED House,"104,446"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
HQSMS,27/12/2016,0000037159,NRS Relief FZE,ARE,PLASTIC PRODUCTS (SHEETS & ROL,"957,420"
HQSMS,27/12/2016,0000037159,NRS Relief FZE,ARE,PLASTIC PRODUCTS (SHEETS & ROL,"177,300"
HQSMS,27/12/2016,0000037171,DHL GLOBAL FORWARDING (DENMARK) A/S,DNK,TRANSPORT SUPPORT,"190,800"
IRQ01,27/12/2016,0000003086,Agreen Company,IRQ,WOOD POLES,"144,000"
IRQ01,27/12/2016,0000003086,Agreen Company,IRQ,WOOD POLES,"387,000"
IRQ01,27/12/2016,0000003087,Belad Al Naser for General Trade & Contr,IRQ,AGRICULTURE/ GARDEN TOOLS,"122,400"
IRQ01,27/12/2016,0000003089,MIHRAN COMPANY,IRQ,ROPES/ CHAINS/ WIRES,"172,500"
IRQ01,27/12/2016,0000003090,KHAIRAT AL BEWASIQ,IRQ,ROPES/ CHAINS/ WIRES,"360,000"
IRQ01,27/12/2016,0000003092,Jako Group,IRQ,BEDCLOTHES/ MATRESSES/ TOWELS,"1,896,000"
IRQ01,27/12/2016,0000003092,Jako Group,IRQ,FLOOR COVERINGS,"1,824,000"
IRQ01,27/12/2016,0000003093,Thaer Slewa Alah Wrdi Konda Co,IRQ,LAMP/ LAMP COMPONENTS,"510,000"
IRQ01,27/12/2016,0000003094,Qalay Nogharan,IRQ,TRANSPORT SUPPORT,"324,000"
IRQ01,27/12/2016,0000003094,Qalay Nogharan,IRQ,TRANSPORT SUPPORT,"276,000"
THA01,27/12/2016,0000001373,"TOYOTA THONBURI CO., LTD.",THA,4x4 STATION WAGON,"164,450"
IRQ01,25/12/2016,0000003077,Salahaddin University,IRQ,FINANCIAL SERVICES,"107,692"
IRQ01,25/12/2016,0000003080,Thaer Slewa Alah Wrdi Konda Co,IRQ,LAMP/ LAMP COMPONENTS,"170,000"
IRQ01,25/12/2016,0000003081,Al-Shefar Group International,IRQ,WATER CANS,"115,000"
IRQ01,25/12/2016,0000003082,RAM DIS TICARET A.S.,TUR,PERSONAL CARE PRODUCTS,"197,200"
IRQ01,25/12/2016,0000003082,RAM DIS TICARET A.S.,TUR,PERSONAL CARE PRODUCTS,"480,010"
IRQ01,25/12/2016,0000003083,Sayd Farhad Company,IRQ,HOUSEHOLD FURNITURE/EQUIPMENT,"1,303,500"
HQSMS,23/12/2016,0000037118,PUYOUNG IND CO. LTD,KOR,PLASTIC PRODUCTS (SHEETS & ROL,"220,994"
HQSMS,23/12/2016,0000037119,Farmingtons AUTOMOTIVE Gmbh,DEU,ARMOURED VEHICLES,"183,240"
HQSMS,23/12/2016,0000037119,Farmingtons AUTOMOTIVE Gmbh,DEU,ARMOURED VEHICLES,"183,240"
HQSMS,23/12/2016,0000037119,Farmingtons AUTOMOTIVE Gmbh,DEU,ARMOURED VEHICLES,"183,240"
HQSMS,23/12/2016,0000037120,PUYOUNG IND CO. LTD,KOR,PLASTIC PRODUCTS (SHEETS & ROL,"140,461"
HQSMS,23/12/2016,0000037122,PUYOUNG IND CO. LTD,KOR,PLASTIC PRODUCTS (SHEETS & ROL,"333,675"
HQSMS,23/12/2016,0000037125,KITCHEN ESSENTIALS,IND,KITCHENWARE,"101,850"
HQSMS,23/12/2016,0000037126,VISHAL METAL INDUSTRIES,IND,KITCHENWARE,"281,120"
HQSMS,23/12/2016,0000037131,SPARTAN RELIEF SUPPLIES LIMITED,KEN,KITCHENWARE,"282,240"
SYR01,23/12/2016,0000004606,AZAD Company,SYR,MAINTENANCE/ CONSTRUCTION SER,"132,900"
SYR01,23/12/2016,0000004606,AZAD Company,SYR,MAINTENANCE/ CONSTRUCTION SER,"199,350"
TUR01,23/12/2016,0000003201,Escudo Grup A. S.,TUR,LAMP/ LAMP COMPONENTS,"161,543"
UGA01,23/12/2016,0000005882,MUKWANO INDUSTRIES UGANDA LIMITED,UGA,WATER CANS,"134,287"
UGA01,23/12/2016,0000005903,ALL IN TRADE LIMITED,UGA,SECURITY/ DETECTION EQUIP/ SUP,"130,091"
UGA01,23/12/2016,0000005909,ARC CONSTRUCTION AND SUPPLIES CO LTD,UGA,MAINTENANCE/ CONSTRUCTION SER,"112,442"
UGA01,23/12/2016,0000005915,PAGRAM SOLUTIONS LIMITED,UGA,TRANSPORT SUPPORT,"193,498"
HQSMS,22/12/2016,0000037060,PRIYANKA (INDIA) PVT LTD,IND,KITCHENWARE,"683,281"
HQSMS,22/12/2016,0000037067,MICROSOFT IRELAND OPERATIONS LTD,IRL,COMPUTER SERVICES,"136,766"
HQSMS,22/12/2016,0000037068,INTERNATIONAL DISPENSARY ASSOCIATION (ID,NLD,MISC DRUGS,"630,584"
HQSMS,22/12/2016,0000037070,IMRES,NLD,MISC MEDICAL SUPPLIES,"298,508"
HQSMS,22/12/2016,0000037081,W.Giertsen Energy Solutions AS,NOR,LAMP/ LAMP COMPONENTS,"438,492"
HQSMS,22/12/2016,0000037085,Paramount Tarpaulin Industries,PAK,BLANKETS,"320,907"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
HQSMS,22/12/2016,0000037087,INTERNATIONAL DISPENSARY ASSOCIATION (ID,NLD,MISC DRUGS,"644,208"
HQSMS,22/12/2016,0000037094,WHO (UNICC),CHE,COMPUTER SERVICES,"207,377"
HQSMS,22/12/2016,0000037096,WHO (UNICC),CHE,COMPUTER SERVICES,"120,000"
HQSMS,22/12/2016,0000037096,WHO (UNICC),CHE,COMPUTER SERVICES,"125,000"
HQSMS,22/12/2016,0000037097,WHO (UNICC),CHE,COMPUTER SERVICES,"149,891"
HQSMS,22/12/2016,0000037099,ACCENTURE AG,CHE,COMPUTER SERVICES,"152,822"
HQSMS,22/12/2016,0000037104,DHL GLOBAL FORWARDING (DENMARK) A/S,DNK,TRANSPORT SUPPORT,"103,075"
JOR01,22/12/2016,0000004417,Irbid District Electricity Company LTD,JOR,MAINTENANCE/ CONSTRUCTION SER,"183,045"
KEN01,22/12/2016,0000009576,SAFI INTERNATIONAL AS,KEN,FUELS (UNSPECIFIED),"148,454"
KEN01,22/12/2016,0000009577,SAFI INTERNATIONAL AS,KEN,COOKING STOVES,"149,730"
KEN01,22/12/2016,0000009585,KENGAS LINK LTD,KEN,TRANSPORT SUPPORT,"139,792"
KEN01,22/12/2016,0000009586,MINOLTA LIMITED,KEN,TRANSPORT SUPPORT,"119,097"
LBN01,22/12/2016,0000002326,NASRI KARAM AND SONS S.A.R.L,LBN,BEDCLOTHES/ MATRESSES/ TOWELS,"592,000"
SYR01,22/12/2016,0000004603,ALNAAL INTERNATIONAL,CHN,ELECTRICAL SUPPL,"104,840"
SYR01,22/12/2016,0000004605,KARDISI Co.,IRQ,SEWING/ KNITTING EQUIP/ SUPPL,"492,630"
UGA01,22/12/2016,0000005862,SHELL STATION YUMBE,UGA,DIESEL,"142,818"
UGA01,22/12/2016,0000005879,MEDIPHARM HEALTHCARE (U) LIMITED,UGA,CLOTHING,"170,127"
UKR01,22/12/2016,0000002045,Caspian Commodity,UKR,FUELS (UNSPECIFIED),"535,922"
YEM01,22/12/2016,0000003038,AL-NADA Center for General Services,YEM,TRANSPORT SUPPORT,"500,000"
YEM01,22/12/2016,0000003039,Mohammed Al-Hadi office,YEM,TRANSPORT SUPPORT,"500,000"
DONIK,21/12/2016,0000000386,Sheik Mohammed Bin Rashid Al Maktoum,ARE,TRANSPORT SUPPORT,"250,000"
ETH01,21/12/2016,0000005307,WORLD FOOD PROGRAMME,ITA,CARGO/PASSENGER TRANSPORT,"112,710"
ETH01,21/12/2016,0000005308,AL-YUSUF GENERAL CONTRACTOR,ETH,MAINTENANCE/ CONSTRUCTION SER,"268,060"
ETH01,21/12/2016,0000005311,Diligent Construction PLC,ETH,MAINTENANCE/ CONSTRUCTION SER,"282,550"
ETH01,21/12/2016,0000005312,HILINA ENRICHED FOODS PLC,ETH,PREPARED/ PRESERVED FOODS,"211,140"
ETH01,21/12/2016,0000005314,ETAB SOAP FACTORY,ETH,SOAP/CLEANING /HYGIENE SUPPLIE,"443,376"
ETH01,21/12/2016,0000005316,CHEKOLE BELETE BUILDING CONTRACTOR,CHE,MAINTENANCE/ CONSTRUCTION SER,"288,960"
HQSMS,21/12/2016,0000036998,ALPINTER,BEL,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"315,000"
HQSMS,21/12/2016,0000036999,NRS Relief FZE,ARE,PLASTIC PRODUCTS (SHEETS & ROL,"376,350"
HQSMS,21/12/2016,0000037003,ALPINTER,BEL,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"315,000"
HQSMS,21/12/2016,0000037005,N-R-S INTERNATIONAL -  FZE,ARE,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"2,152,800"
HQSMS,21/12/2016,0000037009,NRS Relief FZE,ARE,PLASTIC PRODUCTS (SHEETS & ROL,"301,080"
HQSMS,21/12/2016,0000037011,NRS Relief FZE,ARE,PLASTIC PRODUCTS (SHEETS & ROL,"565,104"
HQSMS,21/12/2016,0000037016,MICROSOFT IRELAND OPERATIONS LTD,IRL,COMPUTER SERVICES,"194,000"
HQSMS,21/12/2016,0000037016,MICROSOFT IRELAND OPERATIONS LTD,IRL,COMPUTER SERVICES,"189,000"
HQSMS,21/12/2016,0000037021,WHO (UNICC),CHE,COMPUTER SERVICES,"206,000"
HQSMS,21/12/2016,0000037026,PUYOUNG IND CO. LTD,KOR,PLASTIC PRODUCTS (SHEETS & ROL,"1,343,880"
HQSMS,21/12/2016,0000037030,ORACLE SOFTWARE GMBH,CHE,COMPUTER SERVICES,"500,000"
HQSMS,21/12/2016,0000037031,KEID S.A.L,LBN,WATER COOLED POWER GENERATORS,"651,355"
HQSMS,21/12/2016,0000037031,KEID S.A.L,LBN,WATER COOLED POWER GENERATORS,"670,328"
HQSMS,21/12/2016,0000037031,KEID S.A.L,LBN,AIR COOLED POWER GENERATORS,"1,041,295"
HQSMS,21/12/2016,0000037033,PUYOUNG IND CO. LTD,KOR,PLASTIC PRODUCTS (SHEETS & ROL,"1,343,880"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
HQSMS,21/12/2016,0000037038,VISHAL METAL INDUSTRIES,IND,KITCHENWARE,"652,657"
HQSMS,21/12/2016,0000037039,DANOFFICE PLC,DNK,COMPUTERS,"115,200"
HQSMS,21/12/2016,0000037040,NRS Relief FZE,ARE,PLASTIC PRODUCTS (SHEETS & ROL,"354,600"
HQSMS,21/12/2016,0000037042,RENAULT TRUCKS SAS,FRA,GENERAL CARGO TRUCKS,"123,248"
HQSMS,21/12/2016,0000037046,VISHAL METAL INDUSTRIES,IND,KITCHENWARE,"420,638"
HQSMS,21/12/2016,0000037048,NRS Relief FZE,ARE,BLANKETS,"185,069"
HQSMS,21/12/2016,0000037053,TECHNO RELIEF OVERSEAS (I) PVT LTD,IND,KITCHENWARE,"257,697"
KEN01,21/12/2016,0000009545,HASHI ENERGY LIMITED,KEN,DIESEL,"132,548"
KEN01,21/12/2016,0000009554,KUEHNE AND NAGEL A/S,DNK,CHARTERS,"1,500,000"
HQSMS,20/12/2016,0000036993,K. ARANO AND CO. LTD.,JPN,GENERAL CARGO TRUCKS,"125,605"
KEN01,20/12/2016,0000009544,KUEHNE AND NAGEL A/S,DNK,CHARTERS,"668,400"
KEN01,20/12/2016,0000009544,KUEHNE AND NAGEL A/S,DNK,CHARTERS,"1,594,500"
SYR01,20/12/2016,0000004602,EBLA TRADING JLT,ARE,TOOL KITS,"303,225"
TUR01,20/12/2016,0000003178,SERENAS ULUSLARARASI TURIZM KONGRE,TUR,MEETING/TRAVEL/ FOOD SER,"156,012"
TUR01,20/12/2016,0000003182,YUNUS EMRE VAKFI IKTISADI ISLETMESI,TUR,PRINTED MEDIA,"131,779"
AFG01,19/12/2016,0000004350,ALI SHANG MSP,AFG,BUSINESS/ ADMINISTRATIVE SER,"120,000"
COD01,19/12/2016,0000006538,STE JIN JIN INTERNATIONAL SARL,COD,TELECOMS ACC/ SMALL HARDWARE,"124,350"
COD01,19/12/2016,0000006545,WORLD FOOD PROGRAMME,ITA,CHARTERS,"118,117"
DZA01,19/12/2016,0000000875,NATIONAL TENT HOUSE,PAK,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"224,896"
GRC01,19/12/2016,0000001866,SPACE HELLAS S.A.,GRC,OFFICE SUPPLIES,"279,429"
GRC01,19/12/2016,0000001867,INTRAKAT,GRC,PREFABRICATED House,"131,108"
HQSMS,19/12/2016,0000036943,VISION BRANDS EAST AFRICA LIMITED,KEN,PERSONAL CARE PRODUCTS,"291,820"
HQSMS,19/12/2016,0000036944,ADFINITAS GROUP BV,NLD,ADVERTISING/ INFORMATION SER,"173,301"
HQSMS,19/12/2016,0000036948,Samman and Partner Accountants Co.,JOR,FINANCIAL SERVICES,"387,900"
HQSMS,19/12/2016,0000036950,PRICE WATERHOUSE COOPERS,CHE,FINANCIAL SERVICES,"222,750"
HQSMS,19/12/2016,0000036951,Moore Stephens LLP,GBR,FINANCIAL SERVICES,"1,682,690"
HQSMS,19/12/2016,0000036968,NRS Relief FZE,ARE,PREFABRICATED Warehouse,"720,000"
HQSMS,19/12/2016,0000036969,RELIEF AND  MISSION LOGISTICS LTD,KEN,TRANSPORT SUPPORT,"136,000"
HQSMS,19/12/2016,0000036980,ALPINTER,BEL,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"420,000"
HQSMS,19/12/2016,0000036981,W.Giertsen Energy Solutions AS,NOR,LAMP/ LAMP COMPONENTS,"645,192"
HQSMS,19/12/2016,0000036982,KITCHEN ESSENTIALS,IND,KITCHENWARE,"510,453"
HQSMS,19/12/2016,0000036985,KITCHEN ESSENTIALS,IND,KITCHENWARE,"603,262"
HQSMS,19/12/2016,0000036987,THE MEDICAL EXPORT GROUP BV,NLD,MISC DRUGS,"282,717"
HQSMS,19/12/2016,0000036988,KITCHEN ESSENTIALS,IND,KITCHENWARE,"950,290"
HQSMS,19/12/2016,0000036989,IMRES,NLD,MISC MEDICAL SUPPLIES,"105,738"
HRV01,19/12/2016,0000000504,IVETA d.o.o.,HRV,BUSINESS/ ADMINISTRATIVE SER,"143,031"
IRQ01,19/12/2016,0000003063,DAKOR COMPANY,IRQ,FUELS (UNSPECIFIED),"643,162"
IRQ01,19/12/2016,0000003066,RAM DIS TICARET A.S.,TUR,PERSONAL CARE PRODUCTS,"834,800"
IRQ01,19/12/2016,0000003066,RAM DIS TICARET A.S.,TUR,PERSONAL CARE PRODUCTS,"493,000"
KEN01,19/12/2016,0000009527,DOSHI AND CO (HARDWARE) LIMITED,KEN,WATER PIPES/ RELATED SUPPLIERS,"261,365"
KEN01,19/12/2016,0000009539,RIARA CONSTRUCTION & ENGINEERING LTD,KEN,MAINTENANCE/ CONSTRUCTION SER,"512,518"
KOR01,19/12/2016,0000000761,Dong Hoo,KOR,MAINTENANCE/ CONSTRUCTION SER,"144,974"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
LBR01,19/12/2016,0000002112,UNITED NATIONS MISSION IN LIBERIA,LBR,DIESEL,"185,000"
LBR01,19/12/2016,0000002113,ELECTRONIC COMMUNICATIONS CONSULTING,LBR,ENGINEERING SERVICES,"146,213"
LBY01,19/12/2016,0000000427,Click Co. For Computer imports & Access.,LBY,BAGS,"129,092"
LBY01,19/12/2016,0000000428,Delta Libya for services LTD,LBY,SOAP/CLEANING /HYGIENE SUPPLIE,"135,811"
LBY01,19/12/2016,0000000430,Alnaqil Co. for catering Services ltd.,LBY,MEETING/TRAVEL/ FOOD SER,"300,000"
LBY01,19/12/2016,0000000432,Atheel co. for general contracting & re,LBY,MAINTENANCE/ CONSTRUCTION SER,"1,087,082"
NGA01,19/12/2016,0000001287,Ministry of Reconstruction Reh and Reset,NGA,MAINTENANCE/ CONSTRUCTION SER,"212,430"
PAK01,19/12/2016,0000005412,THE SQUARE,PAK,SCHOOL SUPPLIES,"541,868"
PAK01,19/12/2016,0000005412,THE SQUARE,PAK,SCHOOL SUPPLIES,"645,739"
SDN01,19/12/2016,0000005895,GENEVA INTERNATIONAL SERVICES CO. LTD,SDN,WATER CANS,"199,997"
SRB01,19/12/2016,0000001357,O!PHILIP,SRB,BEDCLOTHES/ MATRESSES/ TOWELS,"123,397"
SSD01,19/12/2016,0000002834,DAVIS AND SHIRTLIFF Ltd.,KEN,LAMP/ LAMP COMPONENTS,"149,600"
TZA01,19/12/2016,0000003733,INDEPTH SCIENTIFIC COMPANY LTD,TZA,MISC MEDICAL SUPPLIES,"112,853"
UGA01,19/12/2016,0000005848,EXAKTLY UGANDA LIMITED,UGA,MATERIAL HANDLING EQUIP,"128,404"
UGA01,19/12/2016,0000005857,Blue Pearls Co Limited,UGA,TRANSPORT SUPPORT,"198,129"
UKR01,19/12/2016,0000002032,LLC Sky Trade Ukraine,UKR,FUELS (UNSPECIFIED),"1,106,214"
EGY01,18/12/2016,0000001919,Shorouk for modern printing & packaging,EGY,PHOTO/ GRAPHIC/ DESIGN SER,"809,200"
HQSMS,18/12/2016,0000036936,DANOFFICE PLC,DNK,COMPUTERS,"100,191"
IRQ01,18/12/2016,0000003059,ALLEN VANGUARD LTD,GBR,SECURITY/ DETECTION EQUIP/ SUP,"376,975"
IRQ01,18/12/2016,0000003060,Thaer Slewa Alah Wrdi Konda Co,IRQ,LAMP/ LAMP COMPONENTS,"425,000"
IRQ01,18/12/2016,0000003060,Thaer Slewa Alah Wrdi Konda Co,IRQ,LAMP/ LAMP COMPONENTS,"255,000"
KEN01,18/12/2016,0000009519,IKHLAS BOOKSHOP AND STATIONARY,KEN,PRINTED MEDIA,"156,235"
SDN01,18/12/2016,0000005877,AL FARIS AL ARABI IMPORT & EXPORT,SDN,WATER BUCKET/ BASINE,"141,251"
SDN01,18/12/2016,0000005881,MUSA ELNAIER ADAM FOR CONSTRUCTION,SDN,WOOD POLES,"111,600"
SYR01,18/12/2016,0000004594,MOUASASET LAKAH,SYR,MAINTENANCE/ CONSTRUCTION SER,"192,558"
YEM01,18/12/2016,0000003024,ALQUSS COMPANY FOR TRADING,YEM,WOOD POLES,"414,000"
YEM01,18/12/2016,0000003024,ALQUSS COMPANY FOR TRADING,YEM,STRUCTURAL BUILDING PRODUCTS /,"210,000"
YEM01,18/12/2016,0000003025,Al-sharq For Foam And Textil Industrial,YEM,BEDCLOTHES/ MATRESSES/ TOWELS,"3,710,000"
GRC01,17/12/2016,0000001844,KMS BUILDING S.A,GRC,PREFABRICATED House,"114,172"
GRC01,17/12/2016,0000001844,KMS BUILDING S.A,GRC,PREFABRICATED House,"541,645"
GRC01,17/12/2016,0000001844,KMS BUILDING S.A,GRC,PREFABRICATED House,"357,739"
GRC01,17/12/2016,0000001844,KMS BUILDING S.A,GRC,PREFABRICATED House,"152,229"
KEN01,17/12/2016,0000009501,EXPORT HYDRO PUMP AND SERVICES AFRICA LT,KEN,MAINTENANCE/ CONSTRUCTION SER,"135,555"
KEN01,17/12/2016,0000009513,MULTITRADE INDUSTRIAL SUPPLIERS LTD,KEN,MAINTENANCE/ CONSTRUCTION SER,"170,440"
SDN01,17/12/2016,0000005872,Galgalo Transportation Services Enterpri,SDN,ROOFING MATERIAL,"119,040"
SDN01,17/12/2016,0000005872,Galgalo Transportation Services Enterpri,SDN,ROOFING MATERIAL,"115,199"
CHN01,16/12/2016,0000001854,LAPUTA TECHNOLOGIES LIMITED,HKG,COMPUTER SERVICES,"126,715"
COD01,16/12/2016,0000006522,"House Matic, S.L.",ESP,PREFABRICATED House,"152,601"
ETH01,16/12/2016,0000005283,ETAB SOAP FACTORY,ETH,SOAP/CLEANING /HYGIENE SUPPLIE,"142,500"
GRC01,16/12/2016,0000001840,AMAXOTECHNIKI - S.A.,GRC,BEDCLOTHES/ MATRESSES/ TOWELS,"339,703"
HQSMS,16/12/2016,0000036878,Paramount Tarpaulin Industries,PAK,BLANKETS,"870,048"
HQSMS,16/12/2016,0000036880,TECHNO RELIEF OVERSEAS (I) PVT LTD,IND,BLANKETS,"717,051"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
HQSMS,16/12/2016,0000036883,NRS Relief FZE,ARE,BLANKETS,"1,559,739"
HQSMS,16/12/2016,0000036885,NRS Relief FZE,ARE,BLANKETS,"492,549"
HQSMS,16/12/2016,0000036890,NRS Relief FZE,ARE,BLANKETS,"533,595"
HQSMS,16/12/2016,0000036893,K. ARANO AND CO. LTD.,JPN,GENERAL CARGO TRUCKS,"129,176"
HQSMS,16/12/2016,0000036895,NATIONAL TENT HOUSE,PAK,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"7,985,340"
HQSMS,16/12/2016,0000036901,NRS Relief FZE,ARE,BEDCLOTHES/ MATRESSES/ TOWELS,"154,076"
HQSMS,16/12/2016,0000036902,STREAMFLOW POLYWEAVE PVT. LTD.,IND,BEDCLOTHES/ MATRESSES/ TOWELS,"153,090"
HQSMS,16/12/2016,0000036906,PUYOUNG IND CO. LTD,KOR,PLASTIC PRODUCTS (SHEETS & ROL,"385,580"
HQSMS,16/12/2016,0000036907,PUYOUNG IND CO. LTD,KOR,PLASTIC PRODUCTS (SHEETS & ROL,"289,185"
HQSMS,16/12/2016,0000036909,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"107,550"
HQSMS,16/12/2016,0000036911,PUYOUNG IND CO. LTD,KOR,PLASTIC PRODUCTS (SHEETS & ROL,"771,160"
HQSMS,16/12/2016,0000036915,Phoenix Trading & Consulting Pvt. Ltd.,IND,BEDCLOTHES/ MATRESSES/ TOWELS,"150,660"
HQSMS,16/12/2016,0000036918,ALPINTER,BEL,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"840,000"
HQSMS,16/12/2016,0000036921,KPMG France SA,FRA,FINANCIAL SERVICES,"2,157,548"
HQSMS,16/12/2016,0000036928,INTERNATIONAL DISPENSARY ASSOCIATION (ID,NLD,MISC DRUGS,"117,373"
MEX01,16/12/2016,0000000483,IMPACTO SOCIAL CONSULTORES S.C.,MEX,ENGINEERING SERVICES,"203,619"
NGA01,16/12/2016,0000001276,Ministry of Reconstruction Reh and Reset,NGA,MAINTENANCE/ CONSTRUCTION SER,"128,697"
NGA01,16/12/2016,0000001280,PRIME LODGE APARTMENT LTD,NGA,MAINTENANCE/ CONSTRUCTION SER,"149,064"
RSHNA,16/12/2016,0000001227,MFI OFFICE SOLUTIONS,KEN,OFFICE SUPPLIES,"250,000"
