Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Descr,USD Amount
BFA01,22-12-12,0000000135,BFA OCADES BURKINA UNHCR-PDED,BFA,BUSINESS/ ADMINISTRATIVE SER,"120,629.42"
LBN01,22-12-12,0000000606,ABED TAHAN,LBN,COOKING STOVES,"123,640.00"
ZMB01,22-12-12,0000001281,REFUGEE COMMISSION - MAHEBA,ZMB,BUSINESS/ ADMINISTRATIVE SER,"186,806.88"
SEN01,22-12-12,0000001522,SAGAM - SECURITE,SEN,SECURITY/ SAFETY SERVICES,"188,814.33"
HQSMS,21-12-12,0000021954,VANDANA LOGISTICS,IND,KITCHENWARE,"107,205.12"
HQSMS,21-12-12,0000021905,STREAMFLOW POLYWEAVE PVT. LTD.,IND,BEDCLOTHES/ MATRESSES/ TOWELS,"136,770.00"
HQSMS,21-12-12,0000021913,TOYOTA MOTOR CORPORATION,JPN,TERRAIN VEHICLES,"155,963.45"
HQSMS,21-12-12,0000021919,VAN VLIET XL GROUP FZE,ARE,GENERAL CARGO TRUCKS,"146,168.83"
HQSMS,21-12-12,0000021928,TECHNO TARP & POLIMERS PVT LTD,IND,PLASTIC PRODUCTS (SHEETS & ROL,"291,500.00"
HQSMS,21-12-12,0000021934,N-R-S INTERNATIONAL -  FZE,ARE,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"1,522,000.00"
HQSMS,21-12-12,0000021937,FHI Development 360 LLC,USA,BUSINESS/ ADMINISTRATIVE SER,"217,725.16"
HQSMS,21-12-12,0000021943,O.K.I. GENERAL TRADING LLC,ARE,BLANKETS,"207,625.60"
HQSMS,21-12-12,0000021898,S&H SWITZERLAND,CHE,COMPUTER SERVICES,"299,948.10"
HQSMS,21-12-12,0000021939,INTERNATIONAL MEDICAL CORPS (IMC),GBR,BUSINESS/ ADMINISTRATIVE SER,"220,966.00"
DONIK,21-12-12,0000000102,GOV United Kingdom - DFID,GBR,ARMOURED VEHICLES,"148,914.00"
ETH01,21-12-12,0000002419,INTERNATIONAL RESCUE COMMITTEE USA,ETH,BUSINESS/ ADMINISTRATIVE SER,"181,611.11"
HQSMS,21-12-12,0000021907,HEWLETT-PACKARD (SUISSE) SA,CHE,COMPUTER SERVICES,"1,000,000.00"
SSD01,20-12-12,0000000499,PACIFIC ARCHITECTS AND ENGINEERS INC. (P,USA,MAINTENANCE/ CONSTRUCTION SER,"2,135,802.00"
HQSMS,20-12-12,0000021893,ANAND INTERNATIONAL,IND,BLANKETS,"369,501.00"
HQSMS,20-12-12,0000021890,VANDANA LOGISTICS,IND,KITCHENWARE,"402,019.20"
HQSMS,20-12-12,0000021881,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"106,375.00"
HQSMS,20-12-12,0000021876,PARKASH WOOLEN INDUSTRIES,IND,BLANKETS,"304,704.00"
HQSMS,20-12-12,0000021873,ALPINTER,BEL,PLASTIC PRODUCTS (SHEETS & ROL,"391,184.00"
HQSMS,20-12-12,0000021870,ALPINTER,BEL,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"2,382,000.00"
HQSMS,20-12-12,0000021856,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"232,740.00"
SYR01,20-12-12,0000003228,APEX FOR MEDICAL PROJECTS COMPANY (AMCO),SYR,MISC MEDICAL SUPPLIES,"296,450.00"
SYR01,19-12-12,0000003225,ALHOUDA CO.,LBN,BEDCLOTHES/ MATRESSES/ TOWELS,"899,000.00"
HQSMS,19-12-12,0000021804,PRIYANKA (INDIA) PVT LTD,IND,KITCHENWARE,"131,220.00"
JOR01,19-12-12,0000001716,ARAB MEDICAL & SCIENTIFIC ALLIANCE,JOR,MISC MEDICAL SUPPLIES,"859,720.33"
JOR01,19-12-12,0000001723,Koubaitary Trading Co. & Partner,JOR,MISC MEDICAL SUPPLIES,"211,864.41"
HQSMS,19-12-12,0000021807,VANDANA LOGISTICS,IND,KITCHENWARE,"128,595.60"
HQSMS,19-12-12,0000021822,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"173,397.50"
JOR01,19-12-12,0000001718,Unity Medical Supplies Est.,JOR,MISC MEDICAL SUPPLIES,"109,251.41"
HQSMS,18-12-12,0000021786,TOYOTA GIBRALTAR STOCKHOLDINGS LTD,GBR,TERRAIN VEHICLES,"863,626.60"
HQSMS,18-12-12,0000021783,TOYOTA GIBRALTAR STOCKHOLDINGS LTD,GBR,TERRAIN VEHICLES,"240,928.91"
LBN01,18-12-12,0000000589,NASRI KARAM AND SONS S.A.R.L,LBN,BEDCLOTHES/ MATRESSES/ TOWELS,"555,000.00"
DZA01,17-12-12,0000000623,CROISSANT ROUGE ALGERIEN (CRA),DZA,BUSINESS/ ADMINISTRATIVE SER,"516,057.64"
KEN01,17-12-12,0000005643,NORWEGIAN REFUGEE COUNCIL (NRC),KEN,BUSINESS/ ADMINISTRATIVE SER,"577,269.16"
SYR01,16-12-12,0000003212,ANAS & TARIK HARASH,SYR,CLOTHING,"434,400.00"
ETH01,16-12-12,0000002391,VITCCON PLC,ETH,WATER PIPES/ RELATED SUPPLIERS,"255,785.86"
JOR01,16-12-12,0000001694,ABDUL LATIF JAMEEL RETAIL COMPANY LTD,SAU,MINIBUSES/ BUSES,"113,226.67"
RSHNA,16-12-12,0000000864,ARK CONSTRUCTION LIMITED,KEN,MAINTENANCE/ CONSTRUCTION SER,"560,000.00"
KEN01,16-12-12,0000005632,KINGS WEAR LIMITED,KEN,PERSONAL CARE PRODUCTS,"411,030.09"
KEN01,16-12-12,0000005627,INTERNATIONAL RESCUE COMMITTEE (IRC),KEN,BUSINESS/ ADMINISTRATIVE SER,"268,580.54"
KEN01,16-12-12,0000005625,THE LUTHERAN WORLD FEDERATION,KEN,BUSINESS/ ADMINISTRATIVE SER,"475,387.06"
KEN01,16-12-12,0000005624,EAST AFRICAN CABLES LIMITED,KEN,MAINTENANCE/ CONSTRUCTION SER,"111,004.62"
KEN01,16-12-12,0000005619,COMACON LTD,KEN,WATER TANK/ WATER CONTAINERS,"122,394.42"
KEN01,16-12-12,0000005615,DANISH REFUGEE COUNCIL,KEN,BUSINESS/ ADMINISTRATIVE SER,"860,650.89"
IRQ01,16-12-12,0000001532,Islamic Relief Worldwide,GBR,BUSINESS/ ADMINISTRATIVE SER,"183,022.50"
KEN01,16-12-12,0000005603,NORTHERN LIBERTY BUILDERS LTD,KEN,BUSINESS/ ADMINISTRATIVE SER,"138,367.95"
IRQ01,16-12-12,0000001530,QANDIL SWEDISH NGO,SWE,BUSINESS/ ADMINISTRATIVE SER,"2,424,260.00"
IRQ01,16-12-12,0000001541,QANDIL SWEDISH NGO,SWE,BUSINESS/ ADMINISTRATIVE SER,"646,554.50"
IRQ01,16-12-12,0000001533,Islamic Relief Worldwide,GBR,BUSINESS/ ADMINISTRATIVE SER,"285,811.00"
SYR01,16-12-12,0000003210,GROUP SONS OF MUHAMMAD YUSEF MAHAMED,SYR,HOUSEHOLD FURNITURE/EQUIPMENT,"420,000.00"
GRC01,15-12-12,0000000713,COSMOS BUSINESS SYSTEMS. S.A.,GRC,OFFICE SUPPLIES,"122,545.45"
ETH01,15-12-12,0000002386,HILINA ENRICHED FOOD PROCESSING CENTER,ETH,PREPARED/ PRESERVED FOODS,"384,557.00"
USA01,15-12-12,0000000411,KOMISYON FANM FIKTIM POU VIKTIM,HTI,BUSINESS/ ADMINISTRATIVE SER,"119,438.50"
USA01,15-12-12,0000000412,J/P HAITIAN RELIEF ORGANIZATION,HTI,BUSINESS/ ADMINISTRATIVE SER,"105,466.38"
ETH01,15-12-12,0000002384,INTERNATIONAL STATIONARY,ETH,SCHOOL SUPPLIES,"145,125.86"
SSD01,15-12-12,0000000495,TEAM INVESTMENT LTD,SSD,MAINTENANCE/ CONSTRUCTION SER,"573,052.00"
RWA01,15-12-12,0000000862,DELTA PETROLEUM RWANDA LTD,RWA,DIESEL,"110,579.75"
ETH01,15-12-12,0000002379,SAHLEMARIAM ZERGAW BUILDING CONTRACTOR,ETH,MAINTENANCE/ CONSTRUCTION SER,"250,775.29"
HQSMS,14-12-12,0000021746,WORLD FOOD PROGRAMME (WFP),ARE,TRANSPORT SUPPORT,"577,316.00"
KEN01,14-12-12,0000005590,KINGS WEAR LIMITED,KEN,PERSONAL CARE PRODUCTS,"216,951.30"
ETH01,14-12-12,0000002364,AL-YUSUF GENERAL CONTRACTOR,ETH,MAINTENANCE/ CONSTRUCTION SER,"252,622.29"
KEN01,14-12-12,0000005595,SPECIALIZED ALUMINIUM RENOVATORS LTD,KEN,AIR CONDITIONING EQUIP/ SUPPL,"350,000.00"
HQSMS,14-12-12,0000021741,UNITED NATIONS GENERAL FUND,USA,BUSINESS/ ADMINISTRATIVE SER,"1,400,000.00"
LBN01,14-12-12,0000000587,FURNITURE AND PLASTICS INDUSTRIES SARL,LBN,BEDCLOTHES/ MATRESSES/ TOWELS,"383,600.00"
PAK01,14-12-12,0000003919,CAR NWFP - GOVERNMENT OF PAKISTAN,PAK,BUSINESS/ ADMINISTRATIVE SER,"1,492,420.85"
PAK01,14-12-12,0000003910,Pakistan Rural Development Program,PAK,BUSINESS/ ADMINISTRATIVE SER,"103,541.78"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Descr,USD Amount
PAK01,14-12-12,0000003909,BASIC EDUCATION FOR AFGHAN REFUGEES,PAK,BUSINESS/ ADMINISTRATIVE SER,"101,480.57"
PAK01,14-12-12,0000003905,STRUGGLE FOR CHANGE,PAK,BUSINESS/ ADMINISTRATIVE SER,"101,375.90"
PAK01,14-12-12,0000003892,BASIC EDUCATION AND EMPLOYABLE SKILL,PAK,BUSINESS/ ADMINISTRATIVE SER,"167,790.20"
COD01,14-12-12,0000004559,KPMG RDC,COD,FINANCIAL SERVICES,"105,000.00"
MMR01,14-12-12,0000001107,"Yangon Tractor Co., Ltd.",MMR,SOAP/CLEANING /HYGIENE SUPPLIE,"201,205.52"
MMR01,14-12-12,0000001104,Hlaing Hlaing Phyo,MMR,SOAP/CLEANING /HYGIENE SUPPLIE,"101,575.29"
MMR01,14-12-12,0000001103,5 Pixels Offset & Silk Screen,MMR,SOAP/CLEANING /HYGIENE SUPPLIE,"150,643.82"
MMR01,14-12-12,0000001101,Ingyin Yagon,MMR,SOAP/CLEANING /HYGIENE SUPPLIE,"124,464.12"
PAK01,14-12-12,0000003893,CAR NWFP - GOVERNMENT OF PAKISTAN,PAK,BUSINESS/ ADMINISTRATIVE SER,"328,870.95"
HQSMS,13-12-12,0000021727,TOYOTA GIBRALTAR STOCKHOLDINGS LTD,GBR,TERRAIN VEHICLES,"205,277.61"
TUR01,13-12-12,0000001000,TURK KIZILAYI DERNEGI GENEL MERKEZI,TUR,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"15,447,500.00"
TCD01,13-12-12,0000003796,JESUIT REFUGEE SERVICE,TCD,BUSINESS/ ADMINISTRATIVE SER,"206,183.14"
HQSMS,13-12-12,0000021726,CISCO SYSTEMS INC,USA,NETWORK COMPONENTS / ACCESS,"171,738.00"
TCD01,13-12-12,0000003795,JESUIT REFUGEE SERVICE,TCD,BUSINESS/ ADMINISTRATIVE SER,"159,716.00"
HQSMS,13-12-12,0000021736,N-R-S INTERNATIONAL -  FZE,ARE,EMERGENCY HEALTH KIT,"1,610,000.00"
SOM01,13-12-12,0000000903,WFP SOMALIA,KEN,TRANSPORT SUPPORT,"200,000.00"
THA01,13-12-12,0000000801,MAE FAH LUANG FOUNDATION UNDER ROYAL PAT,THA,CIVIL AFFAIRS SERVICES,"128,534.20"
BDI01,13-12-12,0000000499,INTERPETROL BURUNDI,BDI,DIESEL,"131,000.00"
BGD01,13-12-12,0000000797,M/S MAA-BABAR DOA ENTERPRISE,BGD,BUSINESS/ ADMINISTRATIVE SER,"163,800.00"
RWA01,13-12-12,0000000856,SODIMEX LTD,RWA,HEALTHCARE SERVICES,"151,004.60"
HQSMS,12-12-12,0000021705,NATIONAL TENT HOUSE,PAK,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"387,000.00"
LKA01,12-12-12,0000002649,BENHAM INTERNATIONAL (PVT) LTD,LKA,KITCHENWARE,"104,863.78"
HQSMS,12-12-12,0000021715,MICROSOFT IRELAND OPERATIONS LTD,IRL,COMPUTER SERVICES,"1,821,774.84"
HQSMS,12-12-12,0000021717,NATIONAL TENT HOUSE,PAK,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"774,000.00"
THA01,12-12-12,0000000795,APPCO LIMITED,THA,ADVERTISING/ INFORMATION SER,"125,407.17"
HQSMS,11-12-12,0000021686,S&H SWITZERLAND,CHE,COMPUTER SERVICES,"124,190.06"
HQSMS,11-12-12,0000021688,S&H SWITZERLAND,CHE,COMPUTER SERVICES,"129,589.63"
HQSMS,11-12-12,0000021690,S&H SWITZERLAND,CHE,COMPUTER SERVICES,"125,809.94"
HQSMS,11-12-12,0000021695,VOLVO TRUCK CORPORATION,SWE,DUMP TRUCKS/TRAILERS,"276,961.61"
HQSMS,11-12-12,0000021699,NATIONAL TENT HOUSE,PAK,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"774,000.00"
IRQ01,11-12-12,0000001526,Samman & Co.,JOR,FINANCIAL SERVICES,"265,287.00"
BDI01,10-12-12,0000000497,INTERPETROL BURUNDI,BDI,DIESEL,"115,493.16"
BDI01,10-12-12,0000000498,INTERPETROL BURUNDI,BDI,DIESEL,"294,504.84"
HQSMS,10-12-12,0000021666,RELTEX TARPAULINS (AFRICA) EPZ LTD,KEN,PLASTIC PRODUCTS (SHEETS & ROL,"467,950.00"
ETH01,10-12-12,0000002348,Abreham Kahsay con & Machin rental SRV,ETH,BUSINESS/ ADMINISTRATIVE SER,"116,057.62"
JOR01,10-12-12,0000001662,FINE HYGIENIC PAPER CO.,JOR,PERSONAL CARE PRODUCTS,"158,418.70"
JOR01,10-12-12,0000001652,Irbid District Electricity Company LTD,JOR,UTILITIES,"225,988.70"
JOR01,10-12-12,0000001658,Food Security stores,JOR,PREPARED/ PRESERVED FOODS,"204,435.03"
LBY01,09-12-12,0000000192,LHASSA CONSULTINA FZE,ARE,ENGINEERING SERVICES,"248,435.00"
JOR01,08-12-12,0000001634,Taiem Sons Constructions Est.,JOR,MAINTENANCE/ CONSTRUCTION SER,"422,084.75"
JOR01,08-12-12,0000001633,Kuehne+Nagel,JOR,TRANSPORT SUPPORT,"141,242.94"
LBY01,06-12-12,0000000166,Zart Oil Services Co.,LBY,BEDCLOTHES/ MATRESSES/ TOWELS,"378,571.43"
KEN01,06-12-12,0000005511,KUEHNE + NAGEL LIMITED,KEN,TRANSPORT SUPPORT,"125,182.61"
PSFRR,06-12-12,0000000084,APPCO GROUP ITALIA SRL,ITA,ADVERTISING/ INFORMATION SER,"190,909.09"
HQSMS,05-12-12,0000021618,HUGH WOOD INC,USA,INSURANCE SERVICES,"240,573.00"
HQSMS,04-12-12,0000021595,KITCHEN ESSENTIALS,IND,BEDCLOTHES/ MATRESSES/ TOWELS,"151,514.00"
PAK01,04-12-12,0000003862,UNITED HUMAN RESOURCE SERVICES (PVT) LTD,PAK,CARGO/PASSENGER TRANSPORT,"481,372.60"
YEM01,04-12-12,0000002201,MUSALAM TRADING CO.,YEM,CUTTING/ PUNCHING TOOLS,"298,912.98"
HQSMS,04-12-12,0000021589,IMPRIMERIE CENTRALE,LUX,TRANSPORT SUPPORT,"132,576.62"
HQSMS,04-12-12,0000021586,ANAND INTERNATIONAL,IND,BLANKETS,"325,174.66"
HQSMS,04-12-12,0000021590,ANAND INTERNATIONAL,IND,BLANKETS,"519,396.21"
HQSMS,04-12-12,0000021576,REDONDO Y GARCIA S.A.,ESP,LAMP/ LAMP COMPONENTS,"230,441.60"
HQSMS,03-12-12,0000021573,IMPRIMERIE CENTRALE,LUX,PHOTO/ GRAPHIC/ DESIGN SER,"232,594.81"
JOR01,03-12-12,0000001620,Taiem Sons Constructions Est.,JOR,MAINTENANCE/ CONSTRUCTION SER,"671,186.44"
JOR01,03-12-12,0000001619,Taiem Sons Constructions Est.,JOR,MAINTENANCE/ CONSTRUCTION SER,"272,288.14"
JOR01,02-12-12,0000001609,Taiem Sons Constructions Est.,JOR,MAINTENANCE/ CONSTRUCTION SER,"671,186.44"
YEM01,02-12-12,0000002200,SAMADAN STORES,YEM,BEDCLOTHES/ MATRESSES/ TOWELS,"410,949.75"
YEM01,02-12-12,0000002199,SAMADAN STORES,YEM,BEDCLOTHES/ MATRESSES/ TOWELS,"531,000.00"
ESH01,30-11-12,0000000231,KUEHNE AND NAGEL A/S,DNK,CHARTERS,"192,857.14"
PAK01,30-11-12,0000003857,UNDP REPRESENTATIVE,PAK,MAINTENANCE/ CONSTRUCTION SER,"113,756.00"
HQSMS,29-11-12,0000021550,UNITED NATIONS GENERAL FUND,USA,BUSINESS/ ADMINISTRATIVE SER,"367,373.00"
PAK01,29-11-12,0000003855,UNITED HUMAN RESOURCE SERVICES (PVT) LTD,PAK,CARGO/PASSENGER TRANSPORT,"149,999.00"
MRT01,29-11-12,0000000482,ETS O/ MOHAMED ABDELLAHI O/ AHMED NAJI,MRT,BLANKETS,"124,792.01"
JOR01,29-11-12,0000001606,Irbid District Electricity Company LTD,JOR,UTILITIES,"542,729.90"
LBR01,28-11-12,0000001444,UNITED NATIONS MISSION IN LIBERIA,LBR,CHARTERS,"152,459.80"
SYR01,28-11-12,0000003198,SAMER GHOSSEN,SYR,PERSONAL CARE PRODUCTS,"179,600.00"
UGA01,28-11-12,0000003357,PRIME DEVELOPMENT (U) LTD,UGA,MAINTENANCE/ CONSTRUCTION SER,"106,082.76"
HQSMS,28-11-12,0000021526,ANAND INTERNATIONAL,IND,BLANKETS,"221,304.47"
HQSMS,28-11-12,0000021529,VANDANA LOGISTICS,IND,KITCHENWARE,"342,921.60"
HQSMS,28-11-12,0000021533,SOGETI (SUISSE) SA,CHE,COMPUTER SERVICES,"385,509.68"
IRQ01,28-11-12,0000001520,UNITED NATIONS ASS. MISSION FOR IRAQ,KWT,BUSINESS/ ADMINISTRATIVE SER,"1,095,593.33"
HQSMS,27-11-12,0000021513,PRIYANKA (INDIA) PVT LTD,IND,KITCHENWARE,"145,800.00"
HQSMS,27-11-12,0000021517,STREAMFLOW POLYWEAVE PVT. LTD.,IND,BEDCLOTHES/ MATRESSES/ TOWELS,"161,460.00"
HQSMS,27-11-12,0000021501,INDO-DANE TEXTILE INDUSTRIES PVT. LTD.,IND,BLANKETS,"284,022.40"
HQSMS,27-11-12,0000021494,INDO-DANE TEXTILE INDUSTRIES PVT. LTD.,IND,PERSONAL CARE PRODUCTS,"129,600.00"
HQSMS,27-11-12,0000021481,Safe Host SA,CHE,COMPUTER SERVICES,"107,229.03"
HQSMS,27-11-12,0000021479,CODAN LTD.,AUS,HF EQUIPMENT,"140,145.43"
HQSMS,27-11-12,0000021478,TOYOTA GIBRALTAR STOCKHOLDINGS LTD,GBR,DELIVERY VEHICLES/ PICK-UPS,"102,370.83"
SYR01,27-11-12,0000003193,ALHOUDA CO.,LBN,BEDCLOTHES/ MATRESSES/ TOWELS,"1,269,650.00"
SYR01,27-11-12,0000003192,ANAS & TARIK HARASH,SYR,BEDCLOTHES/ MATRESSES/ TOWELS,"828,000.00"
SYR01,27-11-12,0000003196,ALHOUDA CO.,LBN,SOAP/CLEANING /HYGIENE SUPPLIE,"409,800.00"
HQSMS,26-11-12,0000021456,HCL Technologies Limited,IND,COMPUTER SERVICES,"125,392.00"
HQSMS,26-11-12,0000021473,N-R-S INTERNATIONAL -  FZE,ARE,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"547,300.00"
HQSMS,26-11-12,0000021472,N-R-S INTERNATIONAL -  FZE,ARE,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"731,880.00"
HQSMS,26-11-12,0000021467,TOYOTA MOTOR CORPORATION,JPN,TERRAIN VEHICLES,"238,778.18"
HQSMS,26-11-12,0000021466,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"523,000.00"
PSFRR,26-11-12,0000000043,DEMO TV LTD,GBR,ADVERTISING/ INFORMATION SER,"401,923.83"
PSFRR,26-11-12,0000000042,DEMO TV LTD,GBR,ADVERTISING/ INFORMATION SER,"194,300.52"
THA01,26-11-12,0000000783,"SABINA FAREAST CO., LTD.",THA,CLOTHING,"141,205.21"
THA01,26-11-12,0000000784,RUBIA INDUSTRIES LTD.,THA,SOAP/CLEANING /HYGIENE SUPPLIE,"100,920.20"
JOR01,25-11-12,0000001597,Food Security stores,JOR,PREPARED/ PRESERVED FOODS,"198,322.57"
MRT01,25-11-12,0000000480,Ets SOCOREM,MRT,KITCHENWARE,"149,983.36"
JOR01,25-11-12,0000001598,Tawlefah Logistics Service,JOR,SOAP/CLEANING /HYGIENE SUPPLIE,"154,485.88"
HQSMS,23-11-12,0000021439,UN OFFICE FOR PROJECT SERVICES,DNK,BUSINESS/ ADMINISTRATIVE SER,"491,250.00"
HQSMS,23-11-12,0000021447,DANOFFICE PLC,DNK,PRINTER/ PRINTER ACCESSORIES,"126,904.00"
HQSMS,22-11-12,0000021404,RELTEX TARPAULINS (AFRICA) EPZ LTD,KEN,PLASTIC PRODUCTS (SHEETS & ROL,"195,233.00"
HQSMS,22-11-12,0000021414,DURBIN PLC,GBR,MISC DRUGS,"3,699,868.00"
HQSMS,22-11-12,0000021415,Farmingtons AUTOMOTIVE Gmbh,DEU,ARMOURED VEHICLES,"333,860.10"
HQSMS,22-11-12,0000021409,IMRES,NLD,MISC MEDICAL SUPPLIES,"129,767.20"
HQSMS,22-11-12,0000021428,NATIONAL TENT HOUSE,PAK,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"119,970.00"
HQSMS,21-11-12,0000021392,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"124,000.00"
HQSMS,21-11-12,0000021386,O.K.I. GENERAL TRADING LLC,ARE,BLANKETS,"273,600.00"
JOR01,21-11-12,0000001590,Luzmilla Hospital,JOR,CIVIL AFFAIRS SERVICES,"100,282.48"
HQSMS,21-11-12,0000021400,VANDANA LOGISTICS,IND,KITCHENWARE,"279,450.00"
SDN01,20-11-12,0000004487,TECHNO RELIEF SERVICES,KEN,PERSONAL CARE PRODUCTS,"238,103.50"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Descr,USD Amount
SWE01,20-11-12,0000000139,DEMO TV LTD,GBR,ADVERTISING/ INFORMATION SER,"242,326.33"
HQSMS,20-11-12,0000021366,N-R-S INTERNATIONAL -  FZE,ARE,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"380,500.00"
HQSMS,20-11-12,0000021376,HEWLETT-PACKARD (SUISSE) SA,CHE,COMPUTER SERVICES,"178,494.62"
HQSMS,20-11-12,0000021363,ALPINTER,BEL,PLASTIC PRODUCTS (SHEETS & ROL,"114,620.00"
PAK01,20-11-12,0000003844,THE WEST PAKISTAN GOODS TRANSPORT,PAK,TRANSPORT SUPPORT,"113,203.92"
