Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
HQSMS,28/12/2018,0000045529,TOYOTA TSUSHO CORPORATION,JPN,4x4 DC PICK-UP,"828,515"
HQSMS,28/12/2018,0000045529,TOYOTA TSUSHO CORPORATION,JPN,4x4 STATION WAGON,"3,389,504"
HQSMS,28/12/2018,0000045529,TOYOTA TSUSHO CORPORATION,JPN,MINIBUS,"195,532"
HQSMS,28/12/2018,0000045530,KITCHEN ESSENTIALS,IND,KITCHENWARE,"809,453"
HQSMS,28/12/2018,0000045540,ARB Corporation Ltd.,AUS,SPARE PARTS/ ACCESSORIES,"119,026"
HQSMS,28/12/2018,0000045542,KITCHEN ESSENTIALS,IND,KITCHENWARE,"224,848"
UGA01,28/12/2018,0000007351,OFFICE OF THE PRIME MINISTER - DOR(L/S),UGA,BUSINESS/ ADMINISTRATIVE SER,"376,796"
UGA01,28/12/2018,0000007352,ARUA DISTRICT SELF RELIANCE,UGA,BUSINESS/ ADMINISTRATIVE SER,"128,530"
UGA01,28/12/2018,0000007353,MEDICAL TEAMS INTERNATIONAL  UGANDA,UGA,BUSINESS/ ADMINISTRATIVE SER,"133,878"
UGA01,28/12/2018,0000007354,DANISH REFUGEE COUNCIL - DRC,LBN,BUSINESS/ ADMINISTRATIVE SER,"606,485"
UGA01,28/12/2018,0000007355,DANISH REFUGEE COUNCIL - DRC,LBN,BUSINESS/ ADMINISTRATIVE SER,"106,650"
UNOPS,28/12/2018,0000000404,UN Office for Project Service (UNOPS),DNK,FINANCIAL SERVICES,"121,367"
ETH01,27/12/2018,0000007583,International Rescue Committee,ETH,BUSINESS/ ADMINISTRATIVE SER,"2,175,975"
HQSMS,27/12/2018,0000045431,DALMAR TRANSPORTERS LTD,KEN,CARGO/PASSENGER TRANSPORT,"322,000"
HQSMS,27/12/2018,0000045433,ELCA INFORMATIQUE SA,CHE,FINANCIAL SERVICES,"119,679"
HQSMS,27/12/2018,0000045436,ACCENTURE AG,CHE,COMPUTER SERVICES,"139,981"
HQSMS,27/12/2018,0000045440,ACCENTURE AG,CHE,COMPUTER SERVICES,"267,060"
HQSMS,27/12/2018,0000045445,NRS Relief FZE,ARE,BEDCLOTHES/ MATRESSES/ TOWELS,"247,680"
HQSMS,27/12/2018,0000045447,HCL Technologies Limited,IND,SOFTWARE,"987,703"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
HQSMS,27/12/2018,0000045455,NRS Relief FZE,ARE,PLASTIC PRODUCTS (SHEETS & ROL,"518,700"
HQSMS,27/12/2018,0000045479,NRS Relief FZE,ARE,PLASTIC PRODUCTS (SHEETS & ROL,"157,430"
HQSMS,27/12/2018,0000045481,IRONMAN 4x4 MIDDLE EAST FZCO,ARE,SPARE PARTS/ ACCESSORIES,"137,100"
HQSMS,27/12/2018,0000045486,ALPINTER,BEL,BLANKETS,"181,440"
HQSMS,27/12/2018,0000045488,NRS Relief FZE,ARE,PLASTIC PRODUCTS (SHEETS & ROL,"256,732"
UGA01,27/12/2018,0000007343,IMRES,NLD,MISC MEDICAL SUPPLIES,"1,695,821"
HQSMS,26/12/2018,0000045430,DANOFFICE PLC,DNK,COMPUTERS,"476,705"
HQSMS,24/12/2018,0000045406,PUYOUNG IND CO. LTD,KOR,PLASTIC PRODUCTS (SHEETS & ROL,"102,375"
HQSMS,24/12/2018,0000045412,CODAN LTD.,AUS,HF EQUIPMENT,"840,418"
HQSMS,24/12/2018,0000045421,Lenz&Staehelin,CHE,BUSINESS/ ADMINISTRATIVE SER,"100,402"
HQSMS,24/12/2018,0000045424,DANOFFICE PLC,DNK,COMPUTERS,"200,700"
IQCBI,24/12/2018,0000000022,Asia Hawala,IRQ,BUSINESS/ ADMINISTRATIVE SER,"132,479"
IQCBI,24/12/2018,0000000023,Asia Hawala,IRQ,FINANCIAL SERVICES,"352,851"
IQCBI,24/12/2018,0000000024,Asia Hawala,IRQ,BUSINESS/ ADMINISTRATIVE SER,"729,183"
SYR01,24/12/2018,0000005277,ISPERCO/ Youssef Esper,SYR,SOAP/CLEANING /HYGIENE SUPPLIE,"166,400"
SYR01,24/12/2018,0000005278,ALHOUDA SARL,LBN,SOAP/CLEANING /HYGIENE SUPPLIE,"249,000"
UGA01,24/12/2018,0000007331,DAVIS AND SHIRTLIFF,UGA,WATER PUMPS,"158,966"
UNOPS,24/12/2018,0000000391,UN Office for Project Service (UNOPS),DNK,FINANCIAL SERVICES,"143,037"
UNOPS,24/12/2018,0000000397,UN Office for Project Service (UNOPS),DNK,FINANCIAL SERVICES,"261,720"
HQSMS,23/12/2018,0000045403,Sunrise Communications AG,CHE,TELEPHONY EQUIPMENT/ SUPPLIES,"199,632"
SYR01,23/12/2018,0000005271,ALHOUDA SARL,LBN,CLOTHING,"232,600"
SYR01,23/12/2018,0000005275,ALKUSTY FOR TRADING COMPANY S.A.L,LBN,CLOTHING,"270,000"
SYR01,23/12/2018,0000005276,ALAMIN MEDICAL INSTRUMENTS CO.Ltd,SYR,MISC MEDICAL SUPPLIES,"375,905"
MEX01,22/12/2018,0000000816,"TELSTRAT, S.A. DE C.V.",MEX,COMPUTERS,"159,201"
UGA01,22/12/2018,0000007324,PLANET PHARMACEUTICALS (U) LTD,UGA,MISC MEDICAL SUPPLIES,"127,597"
AFG01,21/12/2018,0000004870,CLEAN SOLAR ENERGY PRODUCTION COMPANY LT,AFG,SOLAR GENERATORS/ SUPPLIES,"386,618"
BFA01,21/12/2018,0000001023,ENTREPRISE KONFE ET FRERES,BFA,MAINTENANCE/ CONSTRUCTION SER,"103,471"
BGD01,21/12/2018,0000001766,INTERNATIONAL DISPENSARY ASSOCIATION (ID,NLD,MISC DRUGS,"121,261"
BGD01,21/12/2018,0000001767,ATEA,DNK,COMPUTERS,"101,052"
BGD01,21/12/2018,0000001769,ACI LIMITED,BGD,SOAP/CLEANING /HYGIENE SUPPLIE,"477,976"
CMR01,21/12/2018,0000005501,CLARK CORPORATION LTD,CMR,CONCRETE/ CEMENT/ PLASTER,"174,695"
COD01,21/12/2018,0000007746,ENGEN RDC,COD,DIESEL,"103,498"
ETH01,21/12/2018,0000007536,UNIVERSAL ELECTRONICS,ETH,SOLAR GENERATORS/ SUPPLIES,"382,001"
ETH01,21/12/2018,0000007538,TIWON CONSTRUCTION,ETH,MAINTENANCE/ CONSTRUCTION SER,"735,980"
ETH01,21/12/2018,0000007541,MACOM TRADING PLC,ETH,ROOFING MATERIAL,"187,425"
ETH01,21/12/2018,0000007546,CELLULAR TRADING PLC,ETH,WATER CANS,"141,213"
GRC01,21/12/2018,0000003243,GLASSART MULTISYSTEM HOUSING INDUSTRY SA,GRC,PREFABRICATED House,"3,931,741"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
GRC01,21/12/2018,0000003244,KUEHNE AND NAGEL AE METAFORWN,GRC,CARGO/PASSENGER TRANSPORT,"664,505"
GRC01,21/12/2018,0000003246,International Logistics Services s.a.l,LBN,PERSONAL CARE PRODUCTS,"489,681"
HQSMS,21/12/2018,0000045318,ORACLE SOFTWARE GMBH,CHE,COMPUTER SERVICES,"937,843"
HQSMS,21/12/2018,0000045321,WHO (UNICC),CHE,COMPUTER SERVICES,"119,915"
HQSMS,21/12/2018,0000045323,HCL Technologies Limited,IND,SOFTWARE,"520,020"
HQSMS,21/12/2018,0000045324,TOYOTA MOTOR CORPORATION,JPN,BUS,"104,154"
HQSMS,21/12/2018,0000045328,WHO (UNICC),CHE,COMPUTER SERVICES,"219,965"
HQSMS,21/12/2018,0000045329,Samman and Partner Accountants Co.,JOR,FINANCIAL SERVICES,"212,175"
HQSMS,21/12/2018,0000045334,DELL SA,CHE,COMPUTER SERVICES,"1,127,470"
HQSMS,21/12/2018,0000045336,KPMG France SA,FRA,FINANCIAL SERVICES,"110,239"
HQSMS,21/12/2018,0000045337,Moore Stephens LLP,GBR,FINANCIAL SERVICES,"195,273"
HQSMS,21/12/2018,0000045356,K. ARANO AND CO. LTD.,JPN,GENERAL CARGO TRUCKS,"506,553"
HQSMS,21/12/2018,0000045358,IMRES,NLD,MISC DRUGS,"110,728"
HQSMS,21/12/2018,0000045360,IMRES,NLD,MISC DRUGS,"280,129"
HQSMS,21/12/2018,0000045370,EASTERN SURGICAL COMPANY,IND,MISC MEDICAL SUPPLIES,"111,220"
HQSMS,21/12/2018,0000045373,Better Shelter RHU AB,SWE,PREFABRICATED House,"343,823"
HQSMS,21/12/2018,0000045377,WIPRO LIMITED,IND,COMPUTER SERVICES,"596,862"
HQSMS,21/12/2018,0000045388,HCL Technologies Limited,IND,SOFTWARE,"510,047"
HQSMS,21/12/2018,0000045393,African Generator Company,ZAF,WATER COOLED POWER GENERATORS,"261,774"
HQSMS,21/12/2018,0000045395,ELCA INFORMATIQUE SA,CHE,COMPUTER SERVICES,"724,699"
IQCBI,21/12/2018,0000000021,Asia Hawala,IRQ,BUSINESS/ ADMINISTRATIVE SER,"195,487"
IRQ01,21/12/2018,0000003673,INTERNATIONAL RESCUE COMMITTEE (IRC),IRQ,BUSINESS/ ADMINISTRATIVE SER,"545,458"
IRQ01,21/12/2018,0000003675,NORWEGIAN REFUGEE COUNCIL (NRC),COD,BUSINESS/ ADMINISTRATIVE SER,"387,093"
ITA01,21/12/2018,0000001942,SAFEP srl,ITA,MAINTENANCE/ CONSTRUCTION SER,"210,466"
KECBI,21/12/2018,0000000004,EQUITY BANK KENYA LTD,KEN,FINANCIAL SERVICES,"506,301"
KEN01,21/12/2018,0000011229,DALBIT PETROLEUM LIMITED,KEN,DIESEL,"114,905"
KEN01,21/12/2018,0000011237,DALBIT PETROLEUM LIMITED,KEN,DIESEL,"133,399"
KEN01,21/12/2018,0000011245,NILE LOGISTICS SERVICES COMPANY LIMITED,KEN,MAINTENANCE/ CONSTRUCTION SER,"150,574"
KEN01,21/12/2018,0000011255,PETOMA WORKS LIMITED,KEN,MAINTENANCE/ CONSTRUCTION SER,"204,857"
KEN01,21/12/2018,0000011259,PETOMA WORKS LIMITED,KEN,MAINTENANCE/ CONSTRUCTION SER,"160,300"
KEN01,21/12/2018,0000011264,PETOMA WORKS LIMITED,KEN,MAINTENANCE/ CONSTRUCTION SER,"168,268"
KEN01,21/12/2018,0000011278,MEDISEL (KENYA) LIMITED,KEN,MISC DRUGS,"145,216"
KEN01,21/12/2018,0000011279,MEDIONICS HEALTHCARE LTD,KEN,MISC LABORATORY EQUIP/SUPPL,"118,611"
LBN01,21/12/2018,0000003208,NEXtCARE LEBANON SAL,LBN,CIVIL AFFAIRS SERVICES,"340,000"
LBY01,21/12/2018,0000000717,TOP SOURCES TRADING LTD,HKG,SOAP/CLEANING /HYGIENE SUPPLIE,"427,440"
LKA01,21/12/2018,0000003996,ST. ANTONY'S COMPUTER,LKA,EDUCATION/ TRAINING SERVICES,"108,932"
MEX01,21/12/2018,0000000795,"TALLER DE ACABADOS MEXICO, S. DE R.L. CV",MEX,MAINTENANCE/ CONSTRUCTION SER,"591,163"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
MMR01,21/12/2018,0000002288,"Hlaing Myint Mo Tun Constructoin Co.,Ltd",MMR,MAINTENANCE/ CONSTRUCTION SER,"153,484"
MMR01,21/12/2018,0000002289,"Myanmar Housing Development Co., Ltd",MMR,MAINTENANCE/ CONSTRUCTION SER,"111,439"
MMR01,21/12/2018,0000002312,"MYANMAR POSCO C&C Co, Ltd",MMR,ROOFING MATERIAL,"239,845"
MWI01,21/12/2018,0000001286,DHN Building Contractors,MWI,MAINTENANCE/ CONSTRUCTION SER,"126,718"
MXCBI,21/12/2018,0000000037,SI VALE MEXICO S.A. DE C.V.,MEX,BUSINESS/ ADMINISTRATIVE SER,"340,613"
PAK01,21/12/2018,0000005856,MOHMAND DEVELOPERS,PAK,MAINTENANCE/ CONSTRUCTION SER,"181,434"
PAK01,21/12/2018,0000005857,Mohammad Iqbal & Co.,PAK,MAINTENANCE/ CONSTRUCTION SER,"221,720"
PAK01,21/12/2018,0000005858,ROYAL BUILDERS (PVT) LTD,PAK,MAINTENANCE/ CONSTRUCTION SER,"195,049"
PAK01,21/12/2018,0000005859,KARL STORZ SE & Co. KG – Tuttlingen,DEU,MISC MEDICAL SUPPLIES,"132,642"
PAK01,21/12/2018,0000005879,HISEL POWER PAKISTAN (PVT.) LTD,PAK,SOLAR GENERATORS/ SUPPLIES,"157,967"
RWA01,21/12/2018,0000001684,SUPER DESIGN LTD,RWA,MAINTENANCE/ CONSTRUCTION SER,"317,551"
RWCBI,21/12/2018,0000000080,AIRTEL RWANDA LTD,RWA,FINANCIAL SERVICES,"160,336"
SDN01,21/12/2018,0000006481,ELKHAZEEN FOR TRADING & CONTRACTING,SDN,WATER BUCKET/ BASINE,"300,965"
SDN01,21/12/2018,0000006482,ALWAHA FOR SUPPLIES CO. LTD,ARE,SOAP/CLEANING /HYGIENE SUPPLIE,"249,375"
SDN01,21/12/2018,0000006484,Galgalo Transportation Services Enterpri,ARE,CARGO/PASSENGER TRANSPORT,"200,000"
SOM01,21/12/2018,0000002712,GURMAD FOR SUSTAINABLE AID,SOM,MAINTENANCE/ CONSTRUCTION SER,"278,191"
SSD01,21/12/2018,0000003789,WS INSIGHT LIMITED,KEN,SECURITY/ SAFETY SERVICES,"353,063"
SSD01,21/12/2018,0000003802,KIFMAS COMPANY LIMITED,KEN,CARGO/PASSENGER TRANSPORT,"150,000"
SSD01,21/12/2018,0000003805,ABSA LOGISTICS LTD,KEN,DIESEL,"330,000"
TCD01,21/12/2018,0000006638,ECOTRANS,TCD,MAINTENANCE/ CONSTRUCTION SER,"108,466"
TCD01,21/12/2018,0000006649,AHMED KALLI MOULI (ETS AKM),TCD,TYRES/ TYRE TUBES,"185,361"
TCD01,21/12/2018,0000006650,ETS KHALID,TCD,SPARE PARTS/ ACCESSORIES,"161,741"
TUR01,21/12/2018,0000005675,SECURITAS GUVENLIK SISTEMLERI A.S.,TUR,SECURITY/ SAFETY SERVICES,"193,735"
TUR01,21/12/2018,0000005676,MANPOWER INSAN KAYNAKLARI LIMITED SIRKET,TUR,BUSINESS/ ADMINISTRATIVE SER,"348,722"
TZA01,21/12/2018,0000004222,ENGEN PETROLEUM (TANZANIA) LTD,TZA,DIESEL,"100,560"
TZA01,21/12/2018,0000004223,MALAGARASI ENTERPRISES AND CONT LTD,TZA,MAINTENANCE/ CONSTRUCTION SER,"116,968"
UGA01,21/12/2018,0000007262,ASIA AGRO INDUSTRIES (U) LTD,UGA,MOTORIZED CYCLES,"111,381"
UGA01,21/12/2018,0000007264,CLEANING AND GENERAL SUPPLIES ENT(U) LTD,UGA,NON-MOTORIZED CYCLES,"249,993"
UGA01,21/12/2018,0000007268,ALL IN TRADE LIMITED,UGA,SOLAR GENERATORS/ SUPPLIES,"113,600"
UGA01,21/12/2018,0000007298,IDA FOUNDATION,NLD,ORAL MEDICINES,"3,037,829"
UNOPS,21/12/2018,0000000387,UN Office for Project Service (UNOPS),DNK,FINANCIAL SERVICES,"205,417"
USA01,21/12/2018,0000000967,Southern Sales and Service Co. Limited,TTO,4x4 STATION WAGON,"120,000"
YECBI,21/12/2018,0000000033,AL-AMAL MICROFINANCE BANK,YEM,FINANCIAL SERVICES,"213,611"
YECBI,21/12/2018,0000000034,AL-AMAL MICROFINANCE BANK,YEM,FINANCIAL SERVICES,"909,631"
YECBI,21/12/2018,0000000035,AL-AMAL MICROFINANCE BANK,YEM,FINANCIAL SERVICES,"9,530,808"
YECBI,21/12/2018,0000000036,AL-AMAL MICROFINANCE BANK,YEM,FINANCIAL SERVICES,"1,995,334"
YEM01,21/12/2018,0000003530,FUTURE COMPUTER EST.,YEM,SOLAR GENERATORS/ SUPPLIES,"142,540"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
YEM01,21/12/2018,0000003531,AL-AMAL MICROFINANCE BANK,YEM,FINANCIAL SERVICES,"143,000"
YEM01,21/12/2018,0000003533,CITY PROJECT FOR ENGINEERING AND TRADING,YEM,MAINTENANCE/ CONSTRUCTION SER,"166,270"
YEM01,21/12/2018,0000003534,National Company for Sponge&Plastic Ind.,YEM,BEDCLOTHES/ MATRESSES/ TOWELS,"373,825"
YEM01,21/12/2018,0000003535,Al-sharq For Foam And Textil Industrial,YEM,BEDCLOTHES/ MATRESSES/ TOWELS,"441,000"
ZMB01,21/12/2018,0000001954,STONEKING CONSTRUCTION LIMITED,ZMB,MAINTENANCE/ CONSTRUCTION SER,"124,901"
AFG01,20/12/2018,0000004854,NAJEEBULLLAH,AFG,COOKING STOVES,"126,951"
AFG01,20/12/2018,0000004855,"Nawi Ibrahim Khil , LTD",AFG,FLUID/ GAS DISTRIBUTION,"124,373"
AFG01,20/12/2018,0000004858,ZEKRULLAH WA BELAL LTD,AFG,FLUID/ GAS DISTRIBUTION,"125,145"
ARG01,20/12/2018,0000000582,CARINA E. RODRIGUEZ,ARG,MAINTENANCE/ CONSTRUCTION SER,"100,000"
BGD01,20/12/2018,0000001741,Omera Petroleum Limited,BGD,COOKING STOVES,"197,955"
BGD01,20/12/2018,0000001741,Omera Petroleum Limited,BGD,FLUID/ GAS DISTRIBUTION,"523,508"
BGD01,20/12/2018,0000001746,MINISTRY OF DISASTER MANAGEMENT & RELIEF,BGD,BUSINESS/ ADMINISTRATIVE SER,"533,413"
BGD01,20/12/2018,0000001748,Infinity Construction,BGD,MAINTENANCE/ CONSTRUCTION SER,"687,576"
BGD01,20/12/2018,0000001751,MINISTRY OF DISASTER MANAGEMENT & RELIEF,BGD,BUSINESS/ ADMINISTRATIVE SER,"354,821"
BGD01,20/12/2018,0000001755,IFAD Autos Limited,BGD,BUS,"240,885"
CHN01,20/12/2018,0000002365,MVP CONSULTANTS & DEVELOPMENT LIMITED,HKG,ADVERTISING/ INFORMATION SER,"108,654"
GRC01,20/12/2018,0000003233,KUEHNE AND NAGEL AE METAFORWN,GRC,CARGO/PASSENGER TRANSPORT,"154,608"
HQSMS,20/12/2018,0000045252,KUEHNE + NAGEL A/S,DNK,CARGO/PASSENGER TRANSPORT,"233,200"
HQSMS,20/12/2018,0000045255,ICOM FRANCE,FRA,VHF EQUIPMENT,"109,044"
HQSMS,20/12/2018,0000045257,TRUELITE ENERGY TRADING LLC,ARE,LAMP/ LAMP COMPONENTS,"287,680"
HQSMS,20/12/2018,0000045258,Neo Verite Limited,GBR,ELECTRONIC DATA STORAGE EQUIP,"214,520"
HQSMS,20/12/2018,0000045261,KITCHEN ESSENTIALS,IND,KITCHENWARE,"561,142"
HQSMS,20/12/2018,0000045269,DANOFFICE PLC,DNK,COMPUTERS,"114,126"
HQSMS,20/12/2018,0000045284,Phoenix Trading & Consulting Pvt. Ltd.,IND,BLANKETS,"107,100"
HQSMS,20/12/2018,0000045286,ORACLE SOFTWARE GMBH,CHE,COMPUTER SERVICES,"278,769"
HQSMS,20/12/2018,0000045289,ORACLE SOFTWARE GMBH,CHE,COMPUTER SERVICES,"117,096"
HQSMS,20/12/2018,0000045292,K. ARANO AND CO. LTD.,JPN,GENERAL CARGO TRUCKS,"155,195"
HQSMS,20/12/2018,0000045295,DANOFFICE PLC,DNK,COMPUTERS,"347,300"
HQSMS,20/12/2018,0000045298,ORACLE SOFTWARE GMBH,CHE,COMPUTER SERVICES,"326,236"
HQSMS,20/12/2018,0000045310,DANOFFICE PLC,DNK,COMPUTERS,"107,910"
HQSMS,20/12/2018,0000045311,UltiSat Inc.,USA,NETWORK COMPONENTS / ACCESS,"292,131"
IQCBI,20/12/2018,0000000020,Iraq Wallet,IRQ,FINANCIAL SERVICES,"682,400"
IRQ01,20/12/2018,0000003660,BNIAS COMPANY,IRQ,MAINTENANCE/ CONSTRUCTION SER,"263,616"
IRQ01,20/12/2018,0000003661,POWER MEN COMPANY,IRQ,SOLAR GENERATORS/ SUPPLIES,"461,760"
IRQ01,20/12/2018,0000003663,Al-Shamsh Co. LTD for Trading & General,IRQ,MAINTENANCE/ CONSTRUCTION SER,"333,653"
IRQ01,20/12/2018,0000003665,Spectrum Engineering Consultants SARL,IRQ,FINANCIAL SERVICES,"172,500"
IRQ01,20/12/2018,0000003666,Lab Consult GmbH,DEU,MISC MEDICAL SUPPLIES,"400,772"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
IRQ01,20/12/2018,0000003668,Al-Belad Al-Mutahida Company,IRQ,MAINTENANCE/ CONSTRUCTION SER,"101,593"
KEN01,20/12/2018,0000011214,AINUSHAMSI CONSTRUCTION AND TRANSPORT,KEN,MAINTENANCE/ CONSTRUCTION SER,"182,585"
LBN01,20/12/2018,0000003194,TECHNOMANIA SARL,LBN,COMPUTERS,"1,380,000"
LBN01,20/12/2018,0000003195,TECHNOMANIA SARL,LBN,MISC COMPUTER EQUIP/SUPPL,"192,000"
LBN01,20/12/2018,0000003195,TECHNOMANIA SARL,LBN,MISC OFFICE EQUIP,"597,600"
LBN01,20/12/2018,0000003196,Khalife Computer and Office Machinery,LBN,SCHOOL SUPPLIES,"1,010,124"
LBN01,20/12/2018,0000003197,ULTRA TECHNOLOGY,LBN,MISC COMPUTER EQUIP/SUPPL,"283,200"
LBN01,20/12/2018,0000003197,ULTRA TECHNOLOGY,LBN,TELECOMS SERVICES,"249,500"
LBN01,20/12/2018,0000003202,BMB COMPANY SAL,LBN,SOFTWARE,"167,451"
MRT01,20/12/2018,0000001147,SOMATRAL,MRT,SOAP/CLEANING /HYGIENE SUPPLIE,"249,949"
MRT01,20/12/2018,0000001154,RESEAU TD,MRT,MAINTENANCE/ CONSTRUCTION SER,"217,633"
MRT01,20/12/2018,0000001155,ALY TIDJANY DIAGANA (ATD SARL),MRT,SOAP/CLEANING /HYGIENE SUPPLIE,"249,507"
PAK01,20/12/2018,0000005846,LATIF BROTHERS (INSTRUMENTS),PAK,MISC MEDICAL SUPPLIES,"160,614"
SYR01,20/12/2018,0000005239,TAREK SAYEGH Est For Trading&Contracting,LBN,OFFICE SUPPLIES,"380,669"
TUR01,20/12/2018,0000005646,MANPOWER INSAN KAYNAKLARI LIMITED SIRKET,TUR,BUSINESS/ ADMINISTRATIVE SER,"1,200,000"
UGA01,20/12/2018,0000007253,TATA UGANDA LTD,UGA,BUS,"166,556"
UNOPS,20/12/2018,0000000379,UN Office for Project Service (UNOPS),DNK,FINANCIAL SERVICES,"435,937"
UNOPS,20/12/2018,0000000382,UN Office for Project Service (UNOPS),DNK,FINANCIAL SERVICES,"155,620"
UNOPS,20/12/2018,0000000383,UN Office for Project Service (UNOPS),DNK,FINANCIAL SERVICES,"178,705"
YEM01,20/12/2018,0000003493,AL-AMAL MICROFINANCE BANK,YEM,FINANCIAL SERVICES,"974,042"
YEM01,20/12/2018,0000003501,AL-SHARAFI CORPORATION FOR TRADING,YEM,MAINTENANCE/ CONSTRUCTION SER,"119,281"
YEM01,20/12/2018,0000003502,AL-MOLHAM FOR SERVICES & GEN. CONTRACTOR,YEM,HEALTHCARE SERVICES,"117,000"
YEM01,20/12/2018,0000003504,AL-MOLHAM FOR SERVICES & GEN. CONTRACTOR,YEM,NON-MOTORIZED CYCLES,"130,500"
YEM01,20/12/2018,0000003506,AMTC- ABUBAKER O. AHMED,YEM,DUMP TRUCKS/TRAILERS,"105,000"
YEM01,20/12/2018,0000003509,Mohammed Al-Hadi office,YEM,CARGO/PASSENGER TRANSPORT,"600,000"
YEM01,20/12/2018,0000003511,BAHANJA CORPORATION FOR CONTRACTING,YEM,DIESEL,"425,000"
YEM01,20/12/2018,0000003520,Smart Soft,YEM,COMPUTERS,"143,000"
YEM01,20/12/2018,0000003521,TELEYEMEN,YEM,COMPUTER SERVICES,"125,370"
YEM01,20/12/2018,0000003525,BEN THABET FOR TRADING,YEM,PERSONAL CARE PRODUCTS,"100,800"
BGD01,19/12/2018,0000001734,Omera Petroleum Limited,BGD,CIRCUIT BREAKERS/ FUSES,"107,325"
BGD01,19/12/2018,0000001734,Omera Petroleum Limited,BGD,COOKING STOVES,"395,911"
BGD01,19/12/2018,0000001734,Omera Petroleum Limited,BGD,FLUID/ GAS DISTRIBUTION,"1,047,017"
BGD01,19/12/2018,0000001734,Omera Petroleum Limited,BGD,MAINTENANCE/ CONSTRUCTION SER,"147,918"
BGD01,19/12/2018,0000001735,Omera Petroleum Limited,BGD,HOUSEHOLD FURNITURE/EQUIPMENT,"6,543,499"
BGD01,19/12/2018,0000001738,M/S NF Enterprise,BGD,HOUSEHOLD FURNITURE/EQUIPMENT,"1,229,411"
ETH01,19/12/2018,0000007507,CLS Logistics Services plc,ETH,TRANSPORT SUPPORT,"127,184"
HQSMS,19/12/2018,0000045210,Schneider Electric France SAS,FRA,LAMP/ LAMP COMPONENTS,"172,762"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
HQSMS,19/12/2018,0000045214,O.K.I. GENERAL TRADING LLC,ARE,KITCHENWARE,"131,738"
HQSMS,19/12/2018,0000045217,HCL Technologies Limited,IND,SOFTWARE,"440,711"
HQSMS,19/12/2018,0000045220,OPEN TEXT AG - SUISSE,CHE,COMPUTER SERVICES,"388,871"
HQSMS,19/12/2018,0000045223,E-SECURE SARL,CHE,COMPUTER SERVICES,"227,577"
HQSMS,19/12/2018,0000045225,WHO (UNICC),CHE,COMPUTER SERVICES,"1,249,965"
HQSMS,19/12/2018,0000045233,Bollore Logistics India Limited,IND,CARGO/PASSENGER TRANSPORT,"101,250"
