Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
ETH01,28/12/2017,0000006365,PHARMALAB PLC,ETH,MISC LABORATORY EQUIP/SUPPL,"378,631"
ETH01,28/12/2017,0000006395,DH GEDA BALNKET FACTORY,ETH,BLANKETS,"135,680"
HQSMS,28/12/2017,0000041367,W.Giertsen Energy Solutions AS,NOR,LAMP/ LAMP COMPONENTS,"438,492"
HQSMS,28/12/2017,0000041371,NUTRISET SAS,FRA,CARGO/PASSENGER TRANSPORT,"105,699"
HQSMS,28/12/2017,0000041371,NUTRISET SAS,FRA,PREPARED/ PRESERVED FOODS,"528,499"
HQSMS,28/12/2017,0000041375,INTERNATIONAL DISPENSARY ASSOCIATION (ID,NLD,MISC DRUGS,"412,304"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
HQSMS,28/12/2017,0000041376,EDILSIDER S.P.A.,ITA,PREFABRICATED House,"170,400"
HQSMS,28/12/2017,0000041377,KITCHEN ESSENTIALS,IND,KITCHENWARE,"288,453"
HQSMS,28/12/2017,0000041384,Bollore Logistics India Limited,IND,CARGO/PASSENGER TRANSPORT,"353,814"
HQSMS,28/12/2017,0000041388,ACCENTURE AG,CHE,COMPUTER SERVICES,"207,488"
HQSMS,28/12/2017,0000041395,ACCENTURE AG,CHE,COMPUTER SERVICES,"215,765"
HQSMS,28/12/2017,0000041399,DANOFFICE PLC,DNK,COMPUTERS,"161,370"
HQSMS,28/12/2017,0000041403,INTERNATIONAL DISPENSARY ASSOCIATION (ID,NLD,MISC DRUGS,"106,341"
HQSMS,28/12/2017,0000041407,DANOFFICE PLC,DNK,COMPUTERS,"112,455"
HQSMS,28/12/2017,0000041410,CENTURY AUTOMOBILES (NAIROBI) LIMITED,KEN,SPARE PARTS/ ACCESSORIES,"413,021"
KEN01,28/12/2017,0000010513,MEDISEL (KENYA) LIMITED,KEN,SPECIALIZED DRUGS,"247,942"
KEN01,28/12/2017,0000010522,TOTAL KENYA LIMITED,KEN,DIESEL,"145,789"
KEN01,28/12/2017,0000010526,BOLDATA SYSTEM LIMITED,KEN,COMPUTER SERVICES,"250,000"
KEN01,28/12/2017,0000010530,SYNCHROLITE GENERAL CONTRACTORS LTD,KEN,MAINTENANCE/ CONSTRUCTION SER,"242,991"
KEN01,28/12/2017,0000010532,ISUZU EAST AFRICA LIMITED,KEN,MINIBUSES/ BUSES,"274,842"
LBN01,28/12/2017,0000002747,DARWICHE MOHAMAD HUSSEIN AND ALI,LBN,BUSINESS/ ADMINISTRATIVE SER,"650,000"
MWI01,28/12/2017,0000001206,Chakhuwala Building Contractor,MWI,MAINTENANCE/ CONSTRUCTION SER,"145,096"
SSD01,28/12/2017,0000003332,DAVIS AND SHIRTLIFF Ltd.,KEN,SOLAR GENERATORS/ SUPPLIES,"200,680"
SSD01,28/12/2017,0000003333,RELIEFLINE AFRICA LTD,SSD,SOLAR GENERATORS/ SUPPLIES,"129,789"
SSD01,28/12/2017,0000003337,WS INSIGHT LIMITED,KEN,SECURITY/ SAFETY SERVICES,"240,000"
SYR01,28/12/2017,0000004924,KARDISI Co.,IRQ,AIR CONDITIONING EQUIP/ SUPPL,"574,130"
UGA01,28/12/2017,0000006550,ARC CONSTRUCTION AND SUPPLIES CO LTD,UGA,MAINTENANCE/ CONSTRUCTION SER,"108,507"
UGA01,28/12/2017,0000006554,UTECH CONSTRUCTION COMPANY LIMITED,UGA,MAINTENANCE/ CONSTRUCTION SER,"107,115"
UGA01,28/12/2017,0000006555,POLAD UGANDA LTD,UGA,MAINTENANCE/ CONSTRUCTION SER,"120,198"
UGA01,28/12/2017,0000006562,NILE STAR TRADE LINK,UGA,CARGO/PASSENGER TRANSPORT,"1,102,465"
UGA01,28/12/2017,0000006563,ABUDE CONSTRUCTION LTD,UGA,CARGO/PASSENGER TRANSPORT,"184,173"
UGA01,28/12/2017,0000006566,PAGRAM SOLUTIONS LIMITED,UGA,CARGO/PASSENGER TRANSPORT,"1,044,948"
UGA01,28/12/2017,0000006567,SANLAIT FRIENDS,UGA,CARGO/PASSENGER TRANSPORT,"143,443"
UGA01,28/12/2017,0000006572,HOTEL ZAWADI LTD,UGA,MAINTENANCE/ CONSTRUCTION SER,"108,507"
UGA01,28/12/2017,0000006573,HONDA UGANDA LTD,UGA,MOTORIZED CYCLES,"145,000"
UGA01,28/12/2017,0000006575,HONDA UGANDA LTD,UGA,MOTORIZED CYCLES,"145,000"
UGA01,28/12/2017,0000006577,KEYSTONE CONSTRUCTION LTD,UGA,MAINTENANCE/ CONSTRUCTION SER,"454,824"
UGA01,28/12/2017,0000006579,DIVINE GOLDEN LOGISTICS LIMITED,UGA,SECURITY/ DETECTION EQUIP/ SUP,"199,928"
UGA01,28/12/2017,0000006580,NASERA SUITES,CHE,CARGO/PASSENGER TRANSPORT,"2,198,017"
UGA01,28/12/2017,0000006581,Blue Pearls Co Limited,UGA,CARGO/PASSENGER TRANSPORT,"1,612,910"
UGA01,28/12/2017,0000006582,SARJAN CONSTRUCTION (U) LTD,UGA,MAINTENANCE/ CONSTRUCTION SER,"146,960"
UGA01,28/12/2017,0000006583,BLD CONSULTS UGANDA LTD,UGA,CARGO/PASSENGER TRANSPORT,"109,290"
UGA01,28/12/2017,0000006587,NILE STAR TRADE LINK,UGA,CARGO/PASSENGER TRANSPORT,"1,187,803"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
UGA01,28/12/2017,0000006589,ABUDE CONSTRUCTION LTD,UGA,CARGO/PASSENGER TRANSPORT,"1,700,950"
UGA01,28/12/2017,0000006590,SARJAN CONSTRUCTION (U) LTD,UGA,MAINTENANCE/ CONSTRUCTION SER,"331,161"
UGA01,28/12/2017,0000006592,HOME BUILDERS LIMITED,UGA,MAINTENANCE/ CONSTRUCTION SER,"307,795"
UGA01,28/12/2017,0000006593,HOME BUILDERS LIMITED,UGA,MAINTENANCE/ CONSTRUCTION SER,"109,911"
UGA01,28/12/2017,0000006594,ARC CONSTRUCTION AND SUPPLIES CO LTD,UGA,MAINTENANCE/ CONSTRUCTION SER,"320,217"
UGA01,28/12/2017,0000006595,UGANDA MARTYRS HOUSING AND CONSTRUCTION,UGA,MAINTENANCE/ CONSTRUCTION SER,"255,543"
UGA01,28/12/2017,0000006596,UGANDA MARTYRS HOUSING AND CONSTRUCTION,UGA,MAINTENANCE/ CONSTRUCTION SER,"242,169"
UNOPS,28/12/2017,0000000012,UN Office for Project Service (UNOPS),DNK,FINANCIAL SERVICES,"151,949"
UNOPS,28/12/2017,0000000015,UN Office for Project Service (UNOPS),DNK,FINANCIAL SERVICES,"741,639"
YEM01,28/12/2017,0000003255,AL-AMAL MICROFINANCE BANK,YEM,FINANCIAL SERVICES,"5,000,000"
HQSMS,27/12/2017,0000041346,OPEN TEXT AG - SUISSE,CHE,COMPUTER SERVICES,"388,871"
HQSMS,27/12/2017,0000041348,Farmingtons AUTOMOTIVE Gmbh,DEU,ARMOURED VEHICLES,"5,472,390"
HQSMS,27/12/2017,0000041349,ORACLE SOFTWARE GMBH,CHE,COMPUTER SERVICES,"146,642"
HQSMS,27/12/2017,0000041350,VOLVO TRUCK CORPORATION,SWE,GENERAL CARGO TRUCKS,"216,262"
HQSMS,27/12/2017,0000041351,ORACLE SOFTWARE GMBH,CHE,COMPUTER SERVICES,"297,926"
HQSMS,27/12/2017,0000041354,ORACLE SOFTWARE GMBH,CHE,COMPUTER SERVICES,"370,076"
HQSMS,27/12/2017,0000041356,VOLVO TRUCK CORPORATION,SWE,GENERAL CARGO TRUCKS,"106,694"
HQSMS,27/12/2017,0000041359,RENAULT TRUCKS SAS,FRA,GENERAL CARGO TRUCKS,"360,664"
HQSMS,27/12/2017,0000041360,NOVACOM SERVICES,FRA,SATELLITE EQUIP/ ACCESSORIES,"230,000"
KEN01,27/12/2017,0000010508,WINDLE CHARITABLE TRUST,KEN,BUSINESS/ ADMINISTRATIVE SER,"198,493"
KEN01,27/12/2017,0000010510,SYNCHROLITE GENERAL CONTRACTORS LTD,KEN,MAINTENANCE/ CONSTRUCTION SER,"246,402"
KEN01,27/12/2017,0000010511,FASAR ENTERPRISES LIMITED,KEN,MAINTENANCE/ CONSTRUCTION SER,"161,911"
UNOPS,27/12/2017,0000000011,UN Office for Project Service (UNOPS),DNK,FINANCIAL SERVICES,"1,060,776"
UNOPS,26/12/2017,0000000014,UN Office for Project Service (UNOPS),DNK,FINANCIAL SERVICES,"667,346"
AGO01,24/12/2017,0000000900,D.T.I.G LDA,AGO,MAINTENANCE/ CONSTRUCTION SER,"350,530"
ETH01,22/12/2017,0000006377,IOM,ETH,BUSINESS/ ADMINISTRATIVE SER,"300,462"
ETH01,22/12/2017,0000006379,ABDULLAHI ADEN ROBEL,ETH,BUSINESS/ ADMINISTRATIVE SER,"117,458"
ETH01,22/12/2017,0000006380,AMINA SULRY,ETH,FINANCIAL SERVICES,"117,458"
ETH01,22/12/2017,0000006381,Ahmed Hasi Muhumed,ETH,FINANCIAL SERVICES,"117,458"
ETH01,22/12/2017,0000006382,KADAR BARKAT BILAL,ETH,FINANCIAL SERVICES,"131,305"
ETH01,22/12/2017,0000006383,Mohamed Ibrahim Cons Materilas wholsaler,ETH,FINANCIAL SERVICES,"131,305"
ETH01,22/12/2017,0000006384,JAMAL ABDIGANI,ETH,FINANCIAL SERVICES,"131,305"
HQSMS,22/12/2017,0000041314,Microsoft Switzerland Ltd. Liab Co.,CHE,COMPUTER SERVICES,"160,804"
HQSMS,22/12/2017,0000041315,ACHELIS MATERIAL HANDLING LTD,KEN,CONSTRUCTION VEHICLES/EQUIP,"204,000"
HQSMS,22/12/2017,0000041315,ACHELIS MATERIAL HANDLING LTD,KEN,GENERAL CARGO TRUCKS,"235,908"
HQSMS,22/12/2017,0000041326,Sunrise Communications AG,CHE,TELEPHONY EQUIPMENT/ SUPPLIES,"120,879"
HQSMS,22/12/2017,0000041341,DAMCO DENMARK A/S,DNK,CARGO/PASSENGER TRANSPORT,"205,560"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
KEN01,22/12/2017,0000010505,DOSHI AND CO (HARDWARE) LIMITED,KEN,WATER PIPES/ RELATED SUPPLIERS,"126,340"
MMR01,22/12/2017,0000002191,"MYANMAR POSCO STEEL CO., LTD",MMR,ROOFING MATERIAL,"413,763"
SSD01,22/12/2017,0000003330,Emaha General Construction & Trading Co,UGA,BUSINESS/ ADMINISTRATIVE SER,"210,072"
UGA01,22/12/2017,0000006516,INTERNATIONAL RESCUE COMMITTEE (IRC),PAK,BUSINESS/ ADMINISTRATIVE SER,"623,499"
UGA01,22/12/2017,0000006519,ASS OF VOLUNTEERS IN INT. SERVICE,SSD,BUSINESS/ ADMINISTRATIVE SER,"216,329"
UGA01,22/12/2017,0000006548,HOTEL ZAWADI LTD,UGA,MAINTENANCE/ CONSTRUCTION SER,"138,996"
UKR01,22/12/2017,0000002482,LOGISTIKDON LTD,RUS,CONCRETE/ CEMENT/ PLASTER,"833,000"
UKR01,22/12/2017,0000002482,LOGISTIKDON LTD,RUS,MAINTENANCE/ CONSTRUCTION SER,"200,000"
UKR01,22/12/2017,0000002483,"LLC ""Proektstroybiznes""",UKR,CONCRETE/ CEMENT/ PLASTER,"355,000"
UNOPS,22/12/2017,0000000009,UN Office for Project Service (UNOPS),DNK,FINANCIAL SERVICES,"111,014"
BFA01,21/12/2017,0000000901,LUXE PROJET DE CONSTRUCTION,BFA,MAINTENANCE/ CONSTRUCTION SER,"130,773"
BIH01,21/12/2017,0000002312,AMITEA d.o.o.Mostar,BIH,MAINTENANCE/ CONSTRUCTION SER,"107,927"
CAF01,21/12/2017,0000001933,TRADEX CENTRAFRIQUE,CAF,DIESEL,"129,755"
COD01,21/12/2017,0000007030,AMICOR SPRL,COD,HEALTHCARE SERVICES,"380,621"
COD01,21/12/2017,0000007041,ESTC RDC,COD,HEALTHCARE SERVICES,"144,063"
COD01,21/12/2017,0000007051,ENGEN,COD,DIESEL,"248,400"
COD01,21/12/2017,0000007066,UNHAS RDC,COD,CARGO/PASSENGER TRANSPORT,"124,213"
EGY01,21/12/2017,0000002010,Life Care Technology,CHE,MEDICAL KITS,"1,362,714"
EGY01,21/12/2017,0000002012,Vodafone Data,EGY,MISC COMPUTER EQUIP/SUPPL,"1,702,620"
ETH01,21/12/2017,0000006331,NUNU CONSTRUCTIO,ETH,MAINTENANCE/ CONSTRUCTION SER,"121,760"
ETH01,21/12/2017,0000006341,ETAB SOAP FACTORY,ETH,SOAP/CLEANING /HYGIENE SUPPLIE,"120,652"
ETH01,21/12/2017,0000006364,ACTION CONTRE LA FAIM,ETH,BUSINESS/ ADMINISTRATIVE SER,"214,332"
GRC01,21/12/2017,0000002575,PREPAID FINANCIAL SERVICES LTD,GBR,FINANCIAL SERVICES,"148,104"
GRC01,21/12/2017,0000002577,COMO IKE,GRC,HOUSEHOLD FURNITURE/EQUIPMENT,"126,398"
HQSMS,21/12/2017,0000041245,ALPINTER,BEL,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"221,850"
HQSMS,21/12/2017,0000041247,ALPINTER,BEL,PLASTIC PRODUCTS (SHEETS & ROL,"145,628"
HQSMS,21/12/2017,0000041283,W.Giertsen Energy Solutions AS,NOR,LAMP/ LAMP COMPONENTS,"212,674"
HQSMS,21/12/2017,0000041302,IMRES,NLD,MISC DRUGS,"202,932"
IRN01,21/12/2017,0000006386,Bureau for Aliens and Foreign Immigrants,IRN,BUSINESS/ ADMINISTRATIVE SER,"493,342"
IRQ01,21/12/2017,0000003347,UNITED NATIONS ASS. MISSION FOR IRAQ,KWT,BUSINESS/ ADMINISTRATIVE SER,"100,000"
IRQ01,21/12/2017,0000003348,POWER MEN COMPANY,IRQ,SOLAR GENERATORS/ SUPPLIES,"143,100"
IRQ01,21/12/2017,0000003354,Kiman Company,IRQ,MAINTENANCE/ CONSTRUCTION SER,"2,493,125"
IRQ01,21/12/2017,0000003355,ENERGY LOGISTICS,IRQ,CARGO/PASSENGER TRANSPORT,"149,000"
IRQ01,21/12/2017,0000003358,Asia Cell Communication PJSC,IRQ,TELECOMS SERVICES,"165,590"
KEN01,21/12/2017,0000010463,MULTITRADE INDUSTRIAL SUPPLIERS LTD,KEN,STRUCTURAL BUILDING PRODUCTS /,"357,391"
KEN01,21/12/2017,0000010497,SABRIN BUS SERVICE LTD,KEN,CARGO/PASSENGER TRANSPORT,"601,652"
LBN01,21/12/2017,0000002740,CENTURY MOTOR Co. SAL,LBN,DUMP TRUCKS/TRAILERS,"103,000"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
LBY01,21/12/2017,0000000552,ASHUAA ALDWALI COMPANY,LBY,SOAP/CLEANING /HYGIENE SUPPLIE,"149,990"
MKD01,21/12/2017,0000000871,Elikosoft Rade DOOEL,MKD,COMPUTER SERVICES,"187,877"
PAK01,21/12/2017,0000005654,Inspire-Pakistan,PAK,BUSINESS/ ADMINISTRATIVE SER,"215,479"
PAK01,21/12/2017,0000005657,zarak khan and co (NTN 3999612-3),PAK,MAINTENANCE/ CONSTRUCTION SER,"612,506"
PAK01,21/12/2017,0000005658,ZEB & COMPANY,PAK,CLOTHING,"157,574"
SEN01,21/12/2017,0000002592,INTEGRAL LOGISTIX SARL,SEN,WATER PUMPS,"119,759"
SSD01,21/12/2017,0000003327,Tristar Transport LLC,ARE,DIESEL,"270,000"
SYR01,21/12/2017,0000004909,ABD AZIZ AL KADRI,SYR,MISC DRUGS,"302,242"
SYR01,21/12/2017,0000004911,Baroud Drug Store,SYR,MISC DRUGS,"267,060"
SYR01,21/12/2017,0000004912,FLYING HORSE S.A.L ( OFF SHORE ),LBN,CLOTHING,"881,020"
TUR01,21/12/2017,0000004394,SERENAS ULUSLARARASI TURIZM KONGRE,TUR,MEETING/TRAVEL/ FOOD SER,"147,000"
TUR01,21/12/2017,0000004395,YAKUPOGLU TEKSTIL VE DERI SAN. TIC. A.S,TUR,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"914,560"
UGA01,21/12/2017,0000006494,ROJA UGANDA LIMITED,UGA,MAINTENANCE/ CONSTRUCTION SER,"115,195"
UGA01,21/12/2017,0000006495,OFFICE OF THE PRIME MINISTER - DOR(L/S),UGA,BUSINESS/ ADMINISTRATIVE SER,"365,073"
UGA01,21/12/2017,0000006504,DANISH REFUGEE COUNCIL - DRC,UGA,BUSINESS/ ADMINISTRATIVE SER,"236,434"
UGA01,21/12/2017,0000006509,MEDICAL TEAMS INTERNATIONAL  UGANDA,UGA,BUSINESS/ ADMINISTRATIVE SER,"936,988"
UGA01,21/12/2017,0000006514,HUMANITARIAN INITIATIVE JUST RELIEF AID,UGA,BUSINESS/ ADMINISTRATIVE SER,"105,533"
UKR01,21/12/2017,0000002470,PJSC Ukrposhta,UKR,BUSINESS/ ADMINISTRATIVE SER,"652,416"
YEM01,21/12/2017,0000003253,SALEH HUSSEIN MUS'ED AL-YUHEIRI,YEM,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"109,800"
ZMB01,21/12/2017,0000001788,TOYOTA ZAMBIA LIMITED,ZMB,BUS,"116,224"
AFG01,20/12/2017,0000004610,OBAIDULLAH KHOSTI  LOGISTIC COMPANY,AFG,FLUID/ GAS DISTRIBUTION,"117,240"
BFA01,20/12/2017,0000000899,OMA SENISOT BURKINA,BFA,MOTORIZED CYCLES,"142,275"
BGD01,20/12/2017,0000001291,MDS Enterprise,BGD,STRUCTURAL BUILDING PRODUCTS /,"198,819"
CAF01,20/12/2017,0000001909,SOCIETE CAM sarl,CAF,TYRES/ TYRE TUBES,"105,000"
CAF01,20/12/2017,0000001910,CFAO,CAF,SPARE PARTS/ ACCESSORIES,"120,000"
ECU01,20/12/2017,0000001700,CASABACA S.A.,ECU,4x4 DC PICK-UP,"104,970"
ECU01,20/12/2017,0000001700,CASABACA S.A.,ECU,4x4 STATION WAGON,"203,940"
ETH01,20/12/2017,0000006316,DANISH REFUGEE COUNCIL,ETH,BUSINESS/ ADMINISTRATIVE SER,"695,868"
ETH01,20/12/2017,0000006320,International Rescue Committee,ETH,BUSINESS/ ADMINISTRATIVE SER,"2,438,702"
HQSMS,20/12/2017,0000041170,DAMCO DENMARK A/S,DNK,CARGO/PASSENGER TRANSPORT,"218,920"
HQSMS,20/12/2017,0000041177,NRS Relief FZE,ARE,PLASTIC PRODUCTS (SHEETS & ROL,"635,800"
HQSMS,20/12/2017,0000041190,PRIYANKA (INDIA) PVT LTD,IND,KITCHENWARE,"166,493"
HQSMS,20/12/2017,0000041203,INTERNATIONAL DISPENSARY ASSOCIATION (ID,NLD,MISC DRUGS,"433,685"
HQSMS,20/12/2017,0000041205,INTERNATIONAL DISPENSARY ASSOCIATION (ID,NLD,MISC MEDICAL SUPPLIES,"166,088"
HQSMS,20/12/2017,0000041208,TOYOTA GIBRALTAR STOCKHOLDINGS LTD,GBR,SPARE PARTS/ ACCESSORIES,"484,589"
HQSMS,20/12/2017,0000041213,ALPINTER,BEL,TENT/ CAMP/ OUTDOOR EQUIP/ ACC,"328,500"
HQSMS,20/12/2017,0000041234,Shree Balaji Woollen Mills,IND,BLANKETS,"103,723"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
HQSMS,20/12/2017,0000041242,INTERNATIONAL DISPENSARY ASSOCIATION (ID,NLD,MISC MEDICAL SUPPLIES,"1,310,085"
IRQ01,20/12/2017,0000003341,Al Sami General Trade Company Ltd.,JOR,HOUSEHOLD FURNITURE/EQUIPMENT,"736,229"
IRQ01,20/12/2017,0000003346,PREMIERE URGENCE INTERNATIONALE,IRQ,BUSINESS/ ADMINISTRATIVE SER,"125,650"
KEN01,20/12/2017,0000010423,UNITED NATIONS OFFICE AT NAIROBI,KEN,SECURITY/ SAFETY SERVICES,"105,504"
LBN01,20/12/2017,0000002720,MEDILAB S.A.R.L.,LBN,TECHING/ TRAINING EQUIPMENT,"303,530"
LBN01,20/12/2017,0000002725,MEDILAB S.A.R.L.,LBN,TECHING/ TRAINING EQUIPMENT,"1,529,901"
LBN01,20/12/2017,0000002726,Banque Libano Francais s.a.l,LBN,FINANCIAL SERVICES,"800,000"
LBY01,20/12/2017,0000000531,ALNAJAT MEDICAL SERVICES,LBY,CIVIL AFFAIRS SERVICES,"1,570,464"
LBY01,20/12/2017,0000000532,EZZOHD COMPANY FOR CATERING,LBY,PREPARED/ PRESERVED FOODS,"2,690,031"
LBY01,20/12/2017,0000000534,ENNOR ELARABI,LBY,BEDCLOTHES/ MATRESSES/ TOWELS,"137,000"
LBY01,20/12/2017,0000000534,ENNOR ELARABI,LBY,BLANKETS,"224,000"
LBY01,20/12/2017,0000000534,ENNOR ELARABI,LBY,CLOTHING,"343,000"
LBY01,20/12/2017,0000000534,ENNOR ELARABI,LBY,FOOTWEAR,"100,000"
MRT01,20/12/2017,0000001076,ETS NOUVELLE GENERATION,MRT,MAINTENANCE/ CONSTRUCTION SER,"149,271"
NER01,20/12/2017,0000002449,ENTREPRISE ESMA,NER,MAINTENANCE/ CONSTRUCTION SER,"170,364"
NPL01,20/12/2017,0000001151,REFUGEES DIRECT PAYMENT,NPL,BUSINESS/ ADMINISTRATIVE SER,"236,864"
SDN01,20/12/2017,0000006240,ALWAHA FOR SUPPLIES CO. LTD,ARE,SOAP/CLEANING /HYGIENE SUPPLIE,"271,375"
SDN01,20/12/2017,0000006264,BAJAFAR BROTHERS FOR MULTI ACTIVITIES CO,SDN,SOLAR GENERATORS/ SUPPLIES,"203,530"
SSD01,20/12/2017,0000003318,Liberty Engineering and Construction Ltd,KEN,MAINTENANCE/ CONSTRUCTION SER,"119,992"
SSD01,20/12/2017,0000003321,KAHIA TRANSPORTERS LTD,KEN,MEASURING/TESTING EQUIP/ SUPPL,"217,025"
TUR01,20/12/2017,0000004387,77 INSAAT VE TAAHHUT A.S.,TUR,TOOL KITS,"137,360"
TUR01,20/12/2017,0000004388,ADIL MAKINA SANAYI VE TICARET,TUR,METALWORKING MACHINERY/ SUPPL,"332,000"
UGA01,20/12/2017,0000006231,JOINT MEDICAL STORE,UGA,MISC DRUGS,"289,172"
UGA01,20/12/2017,0000006490,A K PLASTIC UGANDA LIMITED,UGA,WATER CANS,"109,900"
YEM01,20/12/2017,0000003237,TAYBAH MUSTAFA FOR IMPORT,YEM,WATER COOLED POWER GENERATORS,"127,800"
YEM01,20/12/2017,0000003242,Mohammed Al-Hadi office,YEM,CARGO/PASSENGER TRANSPORT,"700,000"
CAF01,19/12/2017,0000001828,LA KING SECURITY SERVICE,CAF,SECURITY/ SAFETY SERVICES,"199,284"
CMR01,19/12/2017,0000004772,MARITIME LOGISTICS Sarl,CMR,CARGO/PASSENGER TRANSPORT,"103,560"
DONIK,19/12/2017,0000000493,SAVE THE CHILDREN UK,GBR,BUSINESS/ ADMINISTRATIVE SER,"100,500"
ETH01,19/12/2017,0000006308,SAHLEMARIAM ZERGAW BUILDING CONTRACTOR,ETH,MAINTENANCE/ CONSTRUCTION SER,"231,525"
GRC01,19/12/2017,0000002556,RAMOS S.A. TECHNICAL TRADE IMPORTS DISTR,GRC,COOKING STOVES,"104,265"
GRC01,19/12/2017,0000002561,KMS BUILDING S.A,GRC,STORAGE/PACKING/HANDLING,"324,585"
HQSMS,19/12/2017,0000041118,MANTRAC (U) LIMITED,UGA,CONSTRUCTION VEHICLES/EQUIP,"320,500"
HQSMS,19/12/2017,0000041120,VICTORIA EQUIPMENT LIMITED,UGA,CONSTRUCTION VEHICLES/EQUIP,"246,827"
HQSMS,19/12/2017,0000041120,VICTORIA EQUIPMENT LIMITED,UGA,MATERIAL HANDLING EQUIP,"171,013"
HQSMS,19/12/2017,0000041122,Arkivum Limited,GBR,BUSINESS/ ADMINISTRATIVE SER,"101,879"
HQSMS,19/12/2017,0000041129,ALLIED TRANSPORT AGENT,TZA,CARGO/PASSENGER TRANSPORT,"168,000"
